date,away_abbr,away_pts,home_abbr,home_pts,playoff_game
20211103,DAL,109,SAS,108,0
20211103,CHO,92,GSW,114,0
20211103,NOP,99,SAC,112,0
20211104,PHI,109,DET,98,0
20211104,UTA,116,ATL,98,0
20211104,BOS,95,MIA,78,0
20211104,HOU,111,PHO,123,0
20211104,OKC,107,LAL,104,0
20211105,BRK,96,DET,90,0
20211105,SAS,102,ORL,89,0
20211105,MEM,87,WAS,115,0
20211105,NYK,113,MIL,98,0
20211105,CLE,102,TOR,101,0
20211105,LAC,104,MIN,84,0
20211105,NOP,85,GSW,126,0
20211105,IND,106,POR,110,0
20211105,CHO,110,SAC,140,0
20211106,HOU,94,DEN,95,0
20211106,UTA,115,MIA,118,0
20211106,PHI,114,CHI,105,0
20211106,BOS,104,DAL,107,0
20211106,ATL,117,PHO,121,0
20211106,LAL,90,POR,105,0
20211107,BRK,116,TOR,103,0
20211107,CLE,126,NYK,109,0
20211107,UTA,100,ORL,107,0
20211107,IND,94,SAC,91,0
20211107,MIL,94,WAS,101,0
20211107,SAS,94,OKC,99,0
20211107,HOU,107,GSW,120,0
20211107,CHO,106,LAC,120,0
20211108,NYK,103,PHI,96,0
20211108,BRK,95,CHI,118,0
20211108,MIN,118,MEM,125,0
20211108,NOP,92,DAL,108,0
20211108,MIA,96,DEN,113,0
20211108,ATL,113,GSW,127,0
20211108,PHO,109,SAC,104,0
20211108,CHO,123,LAL,126,0
20211109,MIL,118,PHI,109,0
20211109,ATL,98,UTA,110,0
20211109,POR,109,LAC,117,0
20211110,WAS,97,CLE,94,0
20211110,BRK,123,ORL,90,0
20211110,TOR,88,BOS,104,0
20211110,DET,112,HOU,104,0
20211110,MIL,112,NYK,100,0
20211110,DAL,107,CHI,117,0
20211110,CHO,118,MEM,108,0
20211110,OKC,108,NOP,100,0
20211110,SAC,117,SAS,136,0
20211110,IND,98,DEN,101,0
20211110,POR,109,PHO,119,0
20211110,MIN,110,GSW,123,0
20211110,MIA,117,LAL,120,0
20211111,TOR,115,PHI,109,0
20211111,IND,111,UTA,100,0
20211111,MIA,109,LAC,112,0
20211112,NYK,96,CHO,104,0
20211112,MIL,113,BOS,122,0
20211112,DET,78,CLE,98,0
20211112,POR,104,HOU,92,0
20211112,PHO,119,MEM,94,0
20211112,BRK,120,NOP,112,0
20211112,SAC,103,OKC,105,0
20211112,DAL,123,SAS,109,0
20211112,ATL,96,DEN,105,0
20211112,CHI,93,GSW,119,0
20211112,MIN,107,LAL,83,0
20211113,MIA,111,UTA,105,0
20211113,PHI,113,IND,118,0
20211113,MEM,101,NOP,112,0
20211113,WAS,104,ORL,92,0
20211113,DET,127,TOR,121,0
20211113,BOS,89,CLE,91,0
20211113,MIN,102,LAC,129,0
20211114,SAS,106,LAL,114,0
20211114,MIL,100,ATL,120,0
20211114,GSW,102,CHO,106,0
20211114,PHO,115,HOU,89,0
20211114,BRK,120,OKC,96,0
20211114,POR,95,DEN,124,0
20211114,CHI,100,LAC,90,0
20211115,BOS,98,CLE,92,0
20211115,SAC,129,DET,107,0
20211115,NOP,100,WAS,105,0
20211115,ORL,111,ATL,129,0
20211115,IND,84,NYK,92,0
20211115,DEN,101,DAL,111,0
20211115,HOU,102,MEM,136,0
20211115,PHO,99,MIN,96,0
20211115,MIA,103,OKC,90,0
20211115,TOR,113,POR,118,0
20211115,CHI,121,LAL,103,0
20211116,GSW,117,BRK,99,0
20211116,PHI,85,UTA,120,0
20211116,SAS,92,LAC,106,0
20211117,WAS,87,CHO,97,0
20211117,IND,89,DET,97,0
20211117,BOS,99,ATL,110,0
20211117,CLE,99,BRK,109,0
20211117,NOP,98,MIA,113,0
20211117,LAL,102,MIL,109,0
20211117,ORL,104,NYK,98,0
20211117,SAC,97,MIN,107,0
20211117,HOU,89,OKC,101,0
20211117,DAL,98,PHO,105,0
20211117,CHI,107,POR,112,0
20211118,GSW,104,CLE,89,0
20211118,WAS,97,MIA,112,0
20211118,LAC,108,MEM,120,0
20211118,SAS,90,MIN,115,0
20211118,PHI,103,DEN,89,0
20211118,TOR,103,UTA,119,0
20211119,IND,118,CHO,121,0
20211119,GSW,105,DET,102,0
20211119,LAL,108,BOS,130,0
20211119,ORL,113,BRK,115,0
20211119,OKC,89,MIL,96,0
20211119,LAC,81,NOP,94,0
20211119,CHI,114,DEN,108,0
20211119,DAL,104,PHO,112,0
20211119,TOR,108,SAC,89,0
20211120,HOU,99,NYK,106,0
20211120,NOP,94,IND,111,0
20211120,MIA,100,WAS,103,0
20211120,CHO,105,ATL,115,0
20211120,OKC,105,BOS,111,0
20211120,ORL,108,MIL,117,0
20211120,MEM,95,MIN,138,0
20211120,PHI,111,POR,118,0
20211120,UTA,123,SAC,105,0
20211121,DAL,91,LAC,97,0
20211121,LAL,121,DET,116,0
20211121,NYK,103,CHI,109,0
20211121,DEN,97,PHO,126,0
20211121,TOR,104,GSW,119,0
20211122,BRK,117,CLE,112,0
20211122,CHO,109,WAS,103,0
20211122,OKC,101,ATL,113,0
20211122,HOU,90,BOS,108,0
20211122,IND,109,CHI,77,0
20211122,ORL,92,MIL,123,0
20211122,MIN,110,NOP,96,0
20211122,PHO,115,SAS,111,0
20211122,MEM,119,UTA,118,0
20211122,PHI,102,SAC,94,0
20211123,MIA,100,DET,92,0
20211123,LAL,100,NYK,106,0
20211123,DEN,100,POR,119,0
20211123,DAL,112,LAC,104,0
20211124,PHO,120,CLE,115,0
20211124,LAL,124,IND,116,0
20211124,CHO,106,ORL,99,0
20211124,BRK,123,BOS,104,0
20211124,CHI,113,HOU,118,0
20211124,TOR,126,MEM,113,0
20211124,DET,93,MIL,114,0
20211124,MIA,101,MIN,113,0
20211124,WAS,102,NOP,127,0
20211124,UTA,110,OKC,104,0
20211124,ATL,124,SAS,106,0
20211124,PHI,96,GSW,116,0
20211124,POR,121,SAC,125,0
20211126,DET,96,LAC,107,0
20211126,MIN,115,CHO,133,0
20211126,PHO,118,NYK,97,0
20211126,CHI,123,ORL,88,0
20211126,TOR,97,IND,114,0
20211126,ATL,132,MEM,100,0
20211126,WAS,101,OKC,99,0
20211126,BOS,88,SAS,96,0
20211126,MIL,120,DEN,109,0
20211126,NOP,98,UTA,97,0
20211126,POR,103,GSW,118,0
20211126,SAC,141,LAL,137,0
20211127,MIN,121,PHI,120,0
20211127,NYK,99,ATL,90,0
20211127,PHO,113,BRK,107,0
20211127,MIA,107,CHI,104,0
20211127,ORL,92,CLE,105,0
20211127,CHO,143,HOU,146,0
20211127,WAS,120,DAL,114,0
20211127,NOP,105,UTA,127,0
20211128,GSW,105,LAC,90,0
20211128,MIL,118,IND,100,0
20211128,SAC,101,MEM,128,0
20211128,BOS,109,TOR,97,0
20211128,DET,106,LAL,110,0
20211129,ORL,96,PHI,101,0
20211129,DEN,120,MIA,111,0
20211129,CHO,119,CHI,133,0
20211129,OKC,89,HOU,102,0
