ftr,fga,ast,starter,ft,stl,fg_pct,ast_pct,ts_pct,fg,threep_pct,date,ortg,trb,pts,orb,blk_pct,team_abbr,drb,tov_pct,ft_pct,usg_pct,fta,sp,stl_pct,efg_pct,tov,trb_pct,threep,threepar,orb_pct,blk,pf,player_name,drtg,inactive,threepa,drb_pct,pm
.250,20,4,1,3,0,.300,16.3,.338,6,.000,20220413,80,5,15,2,0.0,SAS,3,4.3,.600,26.3,5,2377.0,0.0,.300,1,7.0,0,.250,4.6,0,5,Keldon Johnson,122,0,5,10.7,-2
.133,15,3,1,2,0,.467,14.0,.724,7,.538,20220413,134,2,23,0,0.0,SAS,2,5.9,1.000,20.6,2,2217.0,0.0,.700,1,3.0,7,.867,0.0,0,4,Devin Vassell,123,0,13,7.6,-6
.263,19,5,1,5,0,.263,23.7,.377,5,.200,20220413,84,9,16,1,2.3,SAS,8,8.6,1.000,30.8,5,2034.0,0.0,.289,2,14.6,1,.263,2.7,1,4,Dejounte Murray,117,0,5,33.3,-4
.400,10,1,1,2,2,.700,5.9,.680,7,0,20220413,121,9,16,3,2.5,SAS,6,14.5,.500,19.8,4,1873.0,3.2,.700,2,15.9,0,.000,8.7,1,3,Jakob Poeltl,110,0,0,27.1,+4
.000,3,2,1,0,0,.000,24.9,.000,0,0,20220413,37,2,0,0,0.0,SAS,2,0.0,0,12.9,0,626.0,0.0,.000,0,10.6,0,.000,0.0,0,0,Joshua Primo,120,0,0,27.1,0
.222,9,2,0,2,1,.444,9.7,.607,4,.500,20220413,127,2,12,0,0.0,SAS,2,0.0,1.000,14.0,2,1911.0,1.6,.556,0,3.5,2,.444,0.0,0,2,Josh Richardson,119,0,4,8.9,-9
1.000,2,1,0,1,1,.500,8.4,.694,1,.500,20220413,155,2,4,1,0.0,SAS,1,0.0,.500,7.7,2,1009.0,3.0,.750,0,6.6,1,1.000,5.4,0,0,Tre Jones,116,0,2,8.4,-9
.500,4,0,0,1,0,.500,0.0,.512,2,.000,20220413,112,2,5,1,4.7,SAS,1,0.0,.500,13.1,2,1007.0,0.0,.500,0,6.6,0,.250,5.4,1,2,Zach Collins,119,0,1,8.4,-14
.000,9,0,0,0,0,.556,0.0,.667,5,.500,20220413,123,1,12,0,0.0,SAS,1,0.0,0,24.5,0,990.0,0.0,.667,0,3.3,2,.444,0.0,0,0,Lonnie Walker IV,123,0,4,8.6,-3
0,0,1,0,0,0,0,21.9,0,0,0,20220413,235,0,0,0,0.0,SAS,0,0,0,0.0,0,356.0,0.0,0,0,0.0,0,0,0.0,0,0,Keita Bates-Diop,124,0,0,0.0,-7
0,0,0,0,0,0,0,0,0,0,0,20220413,0,0,0,0,0,SAS,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,Romeo Langford,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,20220413,0,0,0,0,0,SAS,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,Jock Landale,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,20220413,0,0,0,0,0,SAS,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,Devontae Cacok,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,20220413,0,0,0,0,0,SAS,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,Joe Wieskamp,0,0,0,0,0
.217,23,7,1,5,0,.522,29.2,.635,12,.600,20220413,119,6,32,0,2.1,NOP,6,13.7,1.000,34.3,5,2353.0,0.0,.587,4,8.4,3,.217,0.0,1,3,CJ McCollum,111,0,5,13.9,+16
.000,7,3,1,0,2,.714,10.3,.857,5,.500,20220413,138,5,12,2,4.5,NOP,3,22.2,0,11.2,0,2228.0,2.7,.857,2,7.4,2,.571,7.6,2,4,Herbert Jones,104,0,4,7.3,+10
.571,14,3,1,4,1,.643,12.3,.628,9,.000,20220413,117,14,22,3,4.6,NOP,11,14.6,.500,26.0,8,2186.0,1.4,.643,3,21.2,0,.071,11.6,2,1,Jonas Valančiūnas,102,0,1,27.3,+11
.316,19,5,1,5,0,.579,31.1,.624,11,.000,20220413,126,5,27,1,0.0,NOP,4,8.5,.833,36.9,6,1772.0,0.0,.579,2,9.3,0,.105,4.8,0,4,Brandon Ingram,113,0,2,12.3,-2
