trb_pct,orb_pct,usg_pct,fg_pct,pf,ast,pm,efg_pct,pts,trb,team_abbr,ts_pct,orb,fga,tov_pct,drtg,tov,ft,inactive,ortg,starter,ftr,blk_pct,player_name,drb_pct,threep_pct,bpm,threepar,threepa,date,fg,ft_pct,fta,drb,threep,ast_pct,stl,stl_pct,blk,sp
10.2,7.4,28.1,.429,0,6,-16,.500,21,7,DET,.490,3,21,15.7,105,4,0,0,98,1,.048,0.0,Brandon Jennings,14.3,.500,2.0,.286,6,20131120,9,.000,1,4,3,29.2,1,1.3,0,2434.0
10.0,5.6,21.2,.333,3,2,-18,.333,11,6,DET,.346,2,15,5.9,94,1,1,0,83,1,.133,4.8,Josh Smith,16.3,.000,-0.6,.267,4,20131120,5,.500,2,4,0,9.5,3,4.4,2,2139.0
20.2,8.5,14.0,.455,4,0,+1,.455,10,12,DET,.455,3,11,0.0,91,0,0,0,109,1,.000,2.4,Andre Drummond,37.3,0,1.5,.000,0,20131120,5,0,0,9,0,0.0,4,5.9,1,2108.0
7.0,5.9,14.4,.375,2,4,-19,.375,7,4,DET,.394,2,8,18.4,102,2,1,0,88,1,.250,0.0,Greg Monroe,8.6,0,-2.3,.000,0,20131120,3,.500,2,2,0,18.4,2,3.1,0,2035.0
10.4,4.4,19.4,.111,1,1,-8,.111,4,4,DET,.202,1,9,0.0,107,0,2,0,62,1,.222,0.0,Kentavious Caldwell-Pope,19.2,.000,-12.6,.667,6,20131120,1,1.000,2,3,0,6.4,0,0.0,0,1367.0
0.0,0.0,31.3,.583,6,2,-3,.625,18,0,DET,.676,0,12,27.3,104,5,3,0,99,0,.250,0.0,Rodney Stuckey,0.0,1.000,-3.1,.083,1,20131120,7,1.000,3,0,1,16.5,1,2.0,0,1571.0
18.5,13.4,17.7,.333,0,1,+3,.333,6,7,DET,.436,3,6,22.5,103,2,2,0,89,0,.333,3.8,Kyle Singler,25.9,.000,-3.1,.167,1,20131120,2,1.000,2,4,0,7.0,0,0.0,1,1346.0
5.5,0.0,16.7,.500,1,0,+12,.625,5,1,DET,.625,0,4,0.0,107,0,0,0,132,0,.000,0.0,Gigi Datome,13.6,.333,0.8,.750,3,20131120,2,0,0,1,1,0.0,0,0.0,0,642.0
9.2,0.0,0.0,0,2,1,+11,0,0,1,DET,0,0,0,0,73,0,0,0,217,0,0,0.0,Peyton Siva,22.5,0,11.5,0,0,20131120,0,0,0,1,0,21.2,2,16.0,0,388.0
9.6,16.2,14.5,1.000,2,0,-3,1.500,3,1,DET,1.500,1,1,50.0,96,1,0,0,114,0,.000,13.9,Josh Harrellson,0.0,1.000,4.7,1.000,1,20131120,1,0,0,0,1,0.0,0,0.0,1,370.0
0,0,0,0,0,0,0,0,0,0,DET,0,0,0,0,0,0,0,0,0,0,0,0,Charlie Villanueva,0,0,0,0,0,20131120,0,0,0,0,0,0,0,0,0,0.0
0,0,0,0,0,0,0,0,0,0,DET,0,0,0,0,0,0,0,0,0,0,0,0,Jonas Jerebko,0,0,0,0,0,20131120,0,0,0,0,0,0,0,0,0,0.0
0,0,0,0,0,0,0,0,0,0,DET,0,0,0,0,0,0,0,0,0,0,0,0,Tony Mitchell,0,0,0,0,0,20131120,0,0,0,0,0,0,0,0,0,0.0
19.8,0.0,11.3,.500,2,3,+17,.583,11,12,ATL,.637,0,6,0.0,81,0,4,0,138,1,1.000,4.1,DeMarre Carroll,33.4,.333,9.7,.500,3,20131120,3,.667,6,12,1,12.5,2,2.9,2,2156.0
1.7,0.0,27.1,.571,3,7,+15,.571,18,1,ATL,.605,0,14,25.2,101,5,2,0,98,1,.143,0.0,Jeff Teague,2.9,.000,-2.2,.143,2,20131120,8,1.000,2,1,0,39.4,1,1.5,0,2060.0
9.2,0.0,11.5,.400,0,2,+12,.600,8,5,ATL,.680,0,5,25.4,90,2,2,0,104,1,.400,2.3,Kyle Korver,15.5,.667,4.3,.600,3,20131120,2,1.000,2,5,2,9.0,2,3.2,1,1930.0
14.9,9.2,13.3,.714,1,2,+17,.714,10,8,ATL,.714,2,7,22.2,86,2,0,0,115,1,.000,11.6,Al Horford,18.9,0,7.7,.000,0,20131120,5,0,0,6,0,10.6,1,1.6,5,1903.0
4.2,5.1,32.7,.571,1,0,+4,.571,19,2,ATL,.603,1,14,20.2,100,4,3,0,91,1,.286,0.0,Paul Millsap,3.5,.000,-4.3,.143,2,20131120,8,.750,4,1,0,0.0,1,1.8,0,1697.0
12.7,7.8,38.2,.444,3,0,+3,.444,11,4,ATL,.491,1,9,26.3,98,4,3,0,73,0,.556,0.0,Mike Scott,16.1,.000,-16.5,.111,1,20131120,4,.600,5,3,0,0.0,0,0.0,0,1116.0
10.2,8.4,15.8,.750,1,0,-8,.750,7,3,ATL,.717,1,4,17.0,94,1,1,0,115,0,.500,0.0,Gustavo Ayón,11.5,0,1.6,.000,0,20131120,3,.500,2,2,0,0.0,1,3.0,0,1044.0
