drtg,fta,pf,fg_pct,tov_pct,date,threep_pct,efg_pct,trb,bpm,drb,fga,tov,ts_pct,ft,player_name,ftr,ast,ortg,orb_pct,starter,ast_pct,threepa,pm,stl,sp,blk_pct,orb,drb_pct,threep,threepar,trb_pct,ft_pct,stl_pct,usg_pct,fg,team_abbr,pts,inactive,blk
0,0,0,0,0,20070314,0,0,0,0,0,0,0,0,0,Malik Allen,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,CHI,0,0,0
0,0,0,0,0,20070314,0,0,0,0,0,0,0,0,0,Viktor Khryapa,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,CHI,0,0,0
102,10,0,.250,8.9,20070314,.333,.281,5,4.4,5,16,2,.466,10,Andre Iguodala,.625,6,99,0.0,1,22.2,3,-1,1,2551.0,4.9,0,12.3,1,.188,7.5,1.000,1.3,27.6,4,PHI,19,0,3
105,0,4,.333,30.8,20070314,0,.333,4,-4.8,3,9,4,.333,0,Andre Miller,.000,12,83,4.2,1,46.0,0,+2,1,2392.0,0.0,1,7.9,0,.000,6.4,0,1.4,17.1,3,PHI,6,0,0
96,2,3,1.000,20.2,20070314,0,1.000,7,7.3,7,7,2,.952,1,Samuel Dalembert,.286,1,136,0.0,1,4.7,0,+5,1,2313.0,5.4,0,18.9,0,.000,11.6,.500,1.5,13.4,7,PHI,15,0,3
102,1,2,1.000,31.1,20070314,0,1.000,5,1.0,4,4,2,1.014,1,Steven Hunter,.250,0,126,5.3,1,0.0,0,-3,1,1890.0,0.0,1,13.3,0,.000,10.2,1.000,1.8,10.7,4,PHI,9,0,0
106,0,3,.571,12.5,20070314,.000,.571,2,-0.5,1,14,2,.571,0,Willie Green,.000,2,98,6.1,1,17.0,1,0,1,1625.0,0.0,1,3.9,0,.071,4.7,0,2.1,31.0,8,PHI,16,0,0
109,0,4,.500,16.7,20070314,.500,.550,1,-5.4,1,10,2,.550,0,Kyle Korver,.000,1,86,0.0,0,6.4,2,-5,0,1706.0,2.4,0,3.7,1,.200,2.3,0,0.0,22.1,5,PHI,11,0,1
100,2,3,.500,0.0,20070314,0,.500,5,-5.0,5,6,0,.509,1,Joe Smith,.333,0,99,0.0,0,0.0,0,0,0,1477.0,0.0,0,21.2,0,.000,13.0,.500,0.0,14.7,3,PHI,7,0,0
112,2,1,.333,0.0,20070314,.000,.333,1,9.5,0,3,0,.515,2,Lou Williams,.667,2,131,25.5,0,53.7,1,-1,0,389.0,0.0,1,0.0,0,.333,9.9,1.000,0.0,31.4,1,PHI,4,0,0
114,0,0,.000,0.0,20070314,.000,.000,0,-54.4,0,1,0,.000,0,Rodney Carney,.000,0,0,0.0,0,0.0,1,-2,0,57.0,0.0,0,0.0,0,1.000,0.0,0,0.0,55.2,0,PHI,0,0,0
0,0,0,0,0,20070314,0,0,0,0,0,0,0,0,0,Lou Amundson,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,PHI,0,0,0
0,0,0,0,0,20070314,0,0,0,0,0,0,0,0,0,Bobby Jones,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,PHI,0,0,0
0,0,0,0,0,20070314,0,0,0,0,0,0,0,0,0,Kevin Ollie,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,PHI,0,0,0
0,0,0,0,0,20070314,0,0,0,0,0,0,0,0,0,Martynas Andriuškevičius,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,CHI,0,1,0
0,0,0,0,0,20070314,0,0,0,0,0,0,0,0,0,Andre Barrett,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,CHI,0,1,0
0,0,0,0,0,20070314,0,0,0,0,0,0,0,0,0,Andrés Nocioni,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,CHI,0,1,0
0,0,0,0,0,20070314,0,0,0,0,0,0,0,0,0,Shavlik Randolph,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,PHI,0,1,0
