blk,team_abbr,fg_pct,fga,drtg,stl,efg_pct,ast_pct,date,threep,blk_pct,threepar,tov_pct,drb_pct,fg,ft,stl_pct,tov,starter,pf,orb_pct,trb_pct,ft_pct,threep_pct,pts,usg_pct,ortg,threepa,orb,ast,drb,bpm,player_name,sp,ts_pct,pm,fta,inactive,trb,ftr
1,BOS,.531,32,101,0,.641,23.8,20220513,7,1.9,.469,10.2,24.7,17,5,0.0,4,1,2,0.0,11.1,.714,.467,46,41.8,116,15,0,4,9,13.6,Jayson Tatum,2563.0,.656,+21,7,0,9,.219
1,BOS,.438,16,104,0,.563,15.9,20220513,4,2.0,.438,9.5,8.6,7,4,0.0,2,1,2,4.7,6.5,.571,.571,22,23.7,114,7,2,4,3,3.6,Jaylen Brown,2440.0,.577,+2,7,0,5,.438
0,BOS,.500,16,106,0,.656,29.4,20220513,5,0.0,.563,0.0,8.7,8,0,0.0,0,1,2,4.8,6.6,0,.556,21,18.2,146,9,2,7,3,8.2,Marcus Smart,2412.0,.656,+11,0,0,5,.000
4,BOS,.167,6,93,1,.167,10.3,20220513,0,8.5,.667,14.3,24.5,1,0,1.3,1,1,1,5.0,13.8,0,.000,2,8.4,72,4,2,3,8,0.0,Al Horford,2293.0,.167,+9,0,0,10,.000
0,BOS,.000,3,96,2,.000,4.5,20220513,0,0.0,.333,16.1,20.9,0,2,3.6,1,1,5,0.0,9.4,.400,.000,2,10.1,44,1,0,1,5,-8.0,Grant Williams,1683.0,.192,+9,5,0,5,1.667
0,BOS,.333,9,98,2,.389,9.7,20220513,1,0.0,.556,0.0,11.8,3,2,3.4,0,0,3,6.5,8.9,1.000,.200,9,15.2,113,5,2,2,3,1.0,Derrick White,1786.0,.455,+9,2,0,5,.222
0,BOS,.667,3,103,0,.667,0.0,20220513,0,0.0,.333,0.0,22.4,2,0,0.0,0,0,1,0.0,10.1,0,.000,4,13.1,126,1,0,0,2,-1.2,Daniel Theis,626.0,.667,+4,0,0,2,.000
1,BOS,.000,2,99,0,.000,17.1,20220513,0,11.0,.500,0.0,0.0,0,0,0.0,0,0,1,0.0,0.0,0,.000,0,12.4,33,1,0,1,0,-7.7,Payton Pritchard,443.0,.000,-2,0,0,0,.000
0,BOS,0,0,88,0,0,0.0,20220513,0,0.0,0,0,91.2,0,2,0.0,0,0,0,0.0,41.1,1.000,0,2,0.0,0,0,0,0,0,1.2,Aaron Nesmith,77.0,0,+1,2,0,0,0
0,BOS,0,0,108,0,0,0.0,20220513,0,0.0,0,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,31.3,250,0,0,0,1,33.1,Nik Stauskas,77.0,1.136,+1,0,0,1,0
0,BOS,0,0,0,0,0,0,20220513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Luke Kornet,0.0,0,0,0,0,0,0
0,BOS,0,0,0,0,0,0,20220513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Juwan Morgan,0.0,0,0,0,0,0,0
