ftr,fga,ast,starter,ft,stl,fg_pct,ast_pct,ts_pct,fg,threep_pct,date,ortg,trb,pts,orb,blk_pct,team_abbr,drb,tov_pct,ft_pct,usg_pct,fta,sp,stl_pct,efg_pct,tov,trb_pct,threep,threepar,orb_pct,blk,pf,player_name,drtg,inactive,threepa,drb_pct,pm
.308,13,1,1,4,0,.308,3.4,.474,4,.333,20220415,91,3,14,1,2.6,ATL,2,16.9,1.000,20.3,4,2451.0,0.0,.385,3,4.5,2,.462,3.1,1,2,Danilo Gallinari,117,0,6,5.9,+11
.360,25,9,1,8,0,.520,45.7,.656,13,.364,20220415,131,3,38,0,2.7,ATL,3,12.1,.889,38.3,9,2415.0,0.0,.600,4,4.6,4,.440,0.0,1,1,Trae Young,116,0,11,8.9,+4
.000,11,2,1,0,1,.545,11.5,.591,6,.333,20220415,131,2,13,0,0.0,ATL,2,0.0,0,17.9,0,1727.0,1.9,.591,0,4.3,1,.273,0.0,0,4,Kevin Huerter,114,0,3,8.3,-11
.000,14,0,1,0,0,.357,0.0,.357,5,.000,20220415,71,5,10,1,0.0,ATL,4,12.5,0,26.5,0,1692.0,0.0,.357,2,10.9,0,.357,4.5,0,1,De'Andre Hunter,116,0,5,17.0,-16
.667,3,0,1,1,0,1.000,0.0,.902,3,0,20220415,194,8,7,4,0.0,ATL,4,0.0,.500,13.5,2,809.0,0.0,1.000,0,36.5,0,.000,37.5,0,1,Clint Capela,112,0,0,35.6,-21
.625,8,2,0,5,3,.750,11.1,.931,6,.667,20220415,197,5,19,1,0.0,ATL,4,0.0,1.000,16.2,5,1768.0,5.4,.875,0,10.4,2,.375,4.3,0,4,Bogdan Bogdanović,104,0,3,16.3,+9
.000,1,0,0,0,1,1.000,0.0,1.000,1,0,20220415,107,9,2,1,0.0,ATL,8,50.0,0,3.2,0,1732.0,1.9,1.000,1,19.2,0,.000,4.4,0,4,Onyeka Okongwu,108,0,0,33.3,+21
.000,3,1,0,0,0,.333,6.3,.333,1,.000,20220415,73,6,2,2,5.2,ATL,4,40.0,0,11.3,0,1237.0,0.0,.333,2,17.9,0,.667,12.3,1,0,Delon Wright,111,0,2,23.3,+24
.000,1,0,0,0,0,.000,0.0,.000,0,.000,20220415,0,0,0,0,0.0,ATL,0,50.0,0,17.1,0,328.0,0.0,.000,1,0.0,0,1.000,0.0,0,1,Gorgui Dieng,120,0,1,0.0,+5
2.000,1,0,0,2,0,.000,0.0,.532,0,0,20220415,127,1,2,0,0.0,ATL,1,0.0,1.000,21.9,2,241.0,0.0,.000,0,15.3,0,.000,0.0,0,1,Timothé Luwawu-Cabarrot,113,0,0,29.9,+4
0,0,0,0,0,0,0,0,0,0,0,20220415,0,0,0,0,0,ATL,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,Kevin Knox,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,20220415,0,0,0,0,0,ATL,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,Jalen Johnson,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,20220415,0,0,0,0,0,ATL,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,Skylar Mays,0,0,0,0,0
.074,27,9,1,2,3,.333,36.9,.377,9,.143,20220415,83,3,21,1,0.0,CLE,2,15.2,1.000,36.6,2,2598.0,3.7,.352,5,4.3,1,.259,2.8,0,0,Darius Garland,118,0,7,5.8,+2
.154,13,5,1,2,1,.385,19.4,.576,5,.444,20220415,111,3,16,0,0.0,CLE,3,12.6,1.000,19.2,2,2393.0,1.3,.538,2,4.6,4,.692,0.0,0,4,Caris LeVert,123,0,9,9.5,0
.500,12,5,1,5,0,.500,21.8,.615,6,.333,20220415,145,8,18,3,5.2,CLE,5,0.0,.833,18.8,6,2249.0,0.0,.542,0,13.1,1,.250,9.6,2,4,Evan Mobley,120,0,3,16.8,+3
.000,17,0,1,0,2,.588,0.0,.765,10,.500,20220415,134,8,26,1,2.7,CLE,7,5.6,0,23.8,0,2192.0,2.9,.765,1,13.5,6,.706,3.3,1,4,Lauri Markkanen,114,0,12,24.2,+8
