drtg,fta,pf,fg_pct,tov_pct,date,threep_pct,efg_pct,trb,bpm,drb,fga,tov,ts_pct,ft,player_name,ftr,ast,ortg,orb_pct,starter,ast_pct,threepa,pm,stl,sp,blk_pct,orb,drb_pct,threep,threepar,trb_pct,ft_pct,stl_pct,usg_pct,fg,team_abbr,pts,inactive,blk
129,10,1,.571,19.1,20061109,1.000,.595,3,11.5,0,21,6,.669,9,Chris Paul,.476,10,130,8.9,1,49.9,1,+3,2,2250.0,0.0,3,0.0,1,.048,5.1,.900,2.7,34.3,12,NOK,34,0,0
132,3,2,.429,6.1,20061109,.600,.536,7,2.2,4,14,1,.587,3,Peja Stojaković,.214,2,141,9.8,1,8.6,5,+6,0,2049.0,0.0,3,17.6,3,.357,13.1,1.000,0.0,19.6,6,NOK,18,0,0
127,0,2,1.000,50.0,20061109,0,1.000,11,0.8,8,2,2,1.000,0,Tyson Chandler,.000,2,115,10.3,1,7.8,0,-6,0,1948.0,3.5,3,37.0,0,.000,21.7,0,0.0,5.0,2,NOK,4,0,1
128,6,5,.545,6.8,20061109,0,.545,3,0.9,1,11,1,.587,4,Desmond Mason,.545,2,132,6.9,1,9.3,0,0,1,1935.0,3.5,2,4.7,0,.000,6.0,.667,1.6,18.6,6,NOK,16,0,1
126,8,5,.800,27.0,20061109,0,.800,6,-0.7,4,10,5,.777,5,David West,.800,0,110,7.1,1,0.0,0,+10,1,1900.0,3.6,2,18.9,0,.000,12.1,.625,1.6,24.0,8,NOK,21,0,1
131,10,5,.333,18.3,20061109,.000,.333,5,-10.1,4,9,3,.448,6,Bobby Jackson,1.111,4,98,4.3,0,20.9,2,-9,0,1552.0,0.0,1,23.2,0,.222,12.4,.600,0.0,26.0,3,NOK,12,0,0
129,2,3,.500,0.0,20061109,.000,.500,6,-0.2,3,2,0,.694,2,Linton Johnson,1.000,0,179,26.5,0,0.0,1,-12,0,757.0,0.0,3,35.7,0,.500,30.4,1.000,0.0,9.4,1,NOK,4,0,0
133,0,1,.000,25.0,20061109,.000,.000,2,-16.5,1,3,1,.000,0,Rasual Butler,.000,1,35,9.7,0,10.2,2,-9,0,691.0,0.0,1,13.0,0,.667,11.1,0,0.0,14.2,0,NOK,0,0,0
135,0,2,.000,0.0,20061109,0,.000,2,-8.9,0,2,0,.000,0,Cedric Simmons,.000,1,89,19.5,0,10.2,0,0,0,688.0,0.0,2,0.0,0,.000,11.2,0,0.0,7.1,0,NOK,0,0,0
135,0,1,.429,0.0,20061109,.500,.500,0,-5.2,0,7,0,.500,0,Jannero Pargo,.000,0,122,0.0,0,0.0,2,-8,0,630.0,0.0,0,0.0,1,.286,0.0,0,0.0,27.3,3,NOK,7,0,0
0,0,0,0,0,20061109,0,0,0,0,0,0,0,0,0,Hilton Armstrong,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,NOK,0,0,0
0,0,0,0,0,20061109,0,0,0,0,0,0,0,0,0,Brandon Bass,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,NOK,0,0,0
120,17,3,.647,0.0,20061109,.250,.676,4,11.1,4,17,0,.735,13,Baron Davis,1.000,9,163,0.0,1,36.9,4,+11,3,2614.0,0.0,0,10.2,1,.235,5.9,.765,3.5,26.4,11,GSW,36,0,0
124,0,5,.583,14.3,20061109,.500,.750,5,2.6,4,12,2,.750,0,Mickaël Piétrus,.000,5,132,3.8,1,19.7,8,-1,1,2392.0,0.0,1,11.2,4,.667,8.0,0,1.3,16.5,7,GSW,18,0,0
128,9,6,.462,10.5,20061109,.400,.538,1,-2.6,0,13,2,.619,7,Monta Ellis,.692,5,125,3.8,1,19.4,5,-5,1,2350.0,1.8,1,0.0,2,.385,1.6,.778,1.3,22.7,6,GSW,21,0,1
117,4,4,.538,11.9,20061109,.400,.615,7,2.0,6,13,2,.678,4,Troy Murphy,.308,2,123,4.0,1,8.6,5,-4,2,2240.0,3.8,1,17.9,2,.385,12.0,1.000,2.7,21.1,7,GSW,20,0,2
127,2,5,.000,34.7,20061109,.000,.000,2,-2.5,1,1,1,.532,2,Matt Barnes,2.000,4,135,8.7,1,28.7,1,+7,0,1031.0,4.1,1,6.5,0,1.000,7.4,1.000,0.0,7.9,0,GSW,2,0,1
127,3,2,.364,14.0,20061109,.333,.455,5,-5.3,3,11,2,.528,3,Mike Dunleavy,.273,4,112,9.5,0,18.5,6,+4,0,1895.0,0.0,2,10.6,2,.545,10.1,1.000,0.0,21.3,4,GSW,13,0,0
116,2,6,.500,0.0,20061109,0,.500,6,-9.3,5,2,0,.521,1,Andris Biedriņš,1.000,0,126,8.1,0,0.0,0,+11,0,1113.0,3.8,1,30.1,0,.000,20.7,.500,0.0,7.3,1,GSW,3,0,1
116,0,0,.429,12.5,20061109,.400,.571,0,4.2,0,7,1,.571,0,Anthony Roberson,.000,1,97,0.0,0,13.6,5,+2,2,765.0,0.0,0,0.0,2,.714,0.0,0,8.0,29.4,3,GSW,8,0,0
0,0,0,0,0,20061109,0,0,0,0,0,0,0,0,0,Adonal Foyle,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,GSW,0,0,0
0,0,0,0,0,20061109,0,0,0,0,0,0,0,0,0,Patrick O'Bryant,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,GSW,0,0,0
