ftr,fga,ast,starter,ft,stl,fg_pct,ast_pct,ts_pct,fg,threep_pct,date,ortg,trb,pts,orb,blk_pct,team_abbr,drb,tov_pct,ft_pct,usg_pct,fta,sp,stl_pct,efg_pct,tov,trb_pct,threep,threepar,orb_pct,blk,pf,player_name,drtg,inactive,threepa,drb_pct,pm
.056,18,5,1,0,0,.389,22.2,.461,7,.500,20220412,83,7,17,1,0.0,LAC,6,21.3,.000,25.2,1,2505.0,0.0,.472,5,9.1,3,.333,2.6,0,5,Reggie Jackson,116,0,6,15.7,-7
.458,24,5,1,8,3,.417,26.2,.589,10,.500,20220412,113,7,34,0,0.0,LAC,7,9.4,.727,34.8,11,2466.0,3.6,.542,3,9.3,6,.500,0.0,0,4,Paul George,107,0,12,18.6,-5
2.000,2,1,1,3,0,1.000,4.9,.931,2,0,20220412,119,9,7,3,6.3,LAC,6,44.4,.750,9.6,4,1891.0,0.0,1.000,3,15.6,0,.000,10.4,2,6,Ivica Zubac,111,0,0,20.8,+1
.091,11,1,1,1,0,.455,6.1,.524,5,.250,20220412,98,0,12,0,0.0,LAC,0,8.0,1.000,18.4,1,1822.0,0.0,.500,1,0.0,1,.364,0.0,0,4,Marcus Morris,122,0,4,0.0,+5
.333,6,2,1,1,1,.333,11.3,.509,2,.400,20220412,98,4,7,0,3.6,LAC,4,12.7,.500,12.7,2,1675.0,1.8,.500,1,7.8,2,.833,0.0,1,3,Nicolas Batum,111,0,5,15.6,-1
.444,9,1,0,3,1,.556,7.2,.743,5,.600,20220412,120,3,16,0,0.0,LAC,3,15.7,.750,21.5,4,1599.0,1.9,.722,2,6.1,3,.556,0.0,0,4,Norman Powell,113,0,5,12.3,+3
.667,6,0,0,4,0,.333,0.0,.580,2,.333,20220412,116,5,9,2,0.0,LAC,3,11.4,1.000,21.3,4,1107.0,0.0,.417,1,14.8,1,.500,11.8,0,1,Robert Covington,116,0,3,17.7,0
.000,1,3,0,0,0,1.000,30.8,1.000,1,0,20220412,226,2,2,1,13.2,LAC,1,0.0,0,3.0,0,909.0,0.0,1.000,0,7.2,0,.000,7.2,2,0,Terance Mann,113,0,0,7.2,-16
.000,1,1,0,0,0,.000,20.2,.000,0,0,20220412,31,2,0,0,0.0,LAC,2,50.0,0,12.8,0,420.0,0.0,.000,1,15.6,0,.000,0.0,0,1,Isaiah Hartenstein,111,0,0,31.2,-2
0,0,0,0,0,0,0,0.0,0,0,0,20220412,0,0,0,0,0.0,LAC,0,0,0,0.0,0,6.0,0.0,0,0,0.0,0,0,0.0,0,0,Amir Coffey,123,0,0,0.0,-3
