blk,team_abbr,fg_pct,fga,drtg,stl,efg_pct,ast_pct,date,threep,blk_pct,threepar,tov_pct,drb_pct,fg,ft,stl_pct,tov,starter,pf,orb_pct,trb_pct,ft_pct,threep_pct,pts,usg_pct,ortg,threepa,orb,ast,drb,bpm,player_name,sp,ts_pct,pm,fta,inactive,trb,ftr
0,OKC,.565,23,113,0,.565,39.5,20100220,0,0.0,.000,13.1,15.3,13,5,0.0,4,1,4,6.9,10.9,.625,0,31,27.4,121,0,3,10,6,2.9,Russell Westbrook,2836.0,.584,+8,8,0,9,.348
1,OKC,.400,25,110,1,.440,10.7,20100220,2,1.7,.240,13.7,10.3,10,14,1.0,5,1,2,2.3,6.1,.933,.333,36,33.1,113,6,1,3,4,2.3,Kevin Durant,2812.0,.570,+5,15,0,5,.600
0,OKC,.667,9,108,2,.778,0.0,20100220,2,0.0,.222,0.0,20.7,6,2,2.1,0,1,1,7.0,13.4,.400,1.000,16,10.2,153,2,3,0,8,5.2,Jeff Green,2799.0,.714,+6,5,0,11,.556
0,OKC,.000,4,104,2,.000,4.3,20100220,0,0.0,.500,14.8,24.9,0,4,3.4,1,1,4,0.0,11.8,1.000,.000,4,9.9,79,2,0,1,6,-3.9,Thabo Sefolosha,1740.0,.347,-4,4,0,6,1.000
1,OKC,.500,6,110,0,.500,16.2,20100220,0,7.2,.000,0.0,0.0,3,0,0.0,0,1,2,28.8,15.2,0,0,6,22.5,131,0,3,1,0,4.0,Nenad Krstić,677.0,.500,+5,0,0,3,.000
0,OKC,.556,9,110,1,.556,0.0,20100220,0,0.0,.000,0.0,15.4,5,0,1.6,0,0,3,13.8,14.5,0,0,10,12.2,134,0,4,0,4,-0.4,Nick Collison,1883.0,.556,-4,0,0,8,.000
1,OKC,.444,9,107,1,.500,9.3,20100220,1,2.6,.333,24.9,19.2,4,5,1.6,4,0,4,0.0,9.1,.714,.333,14,21.8,95,3,0,2,5,-2.8,James Harden,1880.0,.579,+4,7,0,5,.778
1,OKC,.667,3,99,1,.667,0.0,20100220,0,6.9,.000,20.5,10.2,2,0,4.1,1,0,2,18.4,14.5,.000,0,4,17.6,94,0,2,0,1,-1.2,Serge Ibaka,707.0,.515,0,2,0,3,.667
0,OKC,.000,1,113,0,.000,13.0,20100220,0,0.0,.000,75.0,12.7,0,0,0.0,3,0,3,0.0,6.0,0,0,0,17.9,13,0,0,1,1,-28.8,Eric Maynor,567.0,.000,-5,0,0,1,.000
0,OKC,0,0,0,0,0,0,20100220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Byron Mullens,0.0,0,0,0,0,0,0
