threepar,trb,trb_pct,date,team_abbr,orb_pct,ft,drb_pct,blk,efg_pct,ast,tov,blk_pct,fta,pf,drtg,ftr,sp,tov_pct,fg,threep,orb,stl_pct,ast_pct,ortg,ft_pct,fg_pct,threep_pct,pm,ts_pct,inactive,stl,usg_pct,pts,fga,threepa,player_name,starter,drb
.345,6,7.3,20210521,MEM,4.4,2,11.0,0,.569,6,5,0.0,2,2,105,.069,2745.0,14.3,14,5,2,4.4,29.2,112,1.000,.483,.500,-1,.586,0,4,33.0,35,29,10,Ja Morant,1,4
.182,2,2.5,20210521,MEM,2.2,0,2.8,0,.318,3,1,0.0,0,5,112,.000,2704.0,4.3,7,0,1,2.2,11.1,78,0,.318,.000,-1,.318,0,2,22.1,14,22,4,Dillon Brooks,1,1
.143,10,14.3,20210521,MEM,5.1,5,25.9,2,.286,6,0,4.5,5,1,105,.714,2341.0,0.0,2,0,2,1.3,21.9,142,1.000,.286,.000,+11,.489,0,1,10.2,9,7,1,Kyle Anderson,1,8
.167,12,26.2,20210521,MEM,23.5,2,29.6,0,.583,3,3,0.0,4,6,109,.667,1533.0,27.9,3,1,6,0.0,18.4,113,.500,.500,1.000,+7,.580,0,0,18.2,9,6,1,Jonas Valančiūnas,1,6
.667,2,7.5,20210521,MEM,13.4,7,0.0,2,.250,0,1,11.8,8,4,110,1.333,896.0,9.5,1,1,2,0.0,0.0,117,.875,.167,.250,+1,.525,0,0,30.5,10,6,4,Jaren Jackson Jr.,1,0
.556,4,7.6,20210521,MEM,0.0,3,17.2,0,.389,2,1,0.0,3,2,113,.333,1760.0,8.8,3,1,0,0.0,10.5,105,1.000,.333,.200,-13,.484,0,0,16.7,10,9,5,Desmond Bane,0,4
.625,4,8.8,20210521,MEM,0.0,0,20.0,1,.750,1,2,3.5,0,1,93,.000,1518.0,20.0,4,4,0,7.9,6.6,116,0,.500,.800,+17,.750,0,4,17.1,12,8,5,Grayson Allen,0,4
.375,7,16.9,20210521,MEM,13.0,1,21.8,1,.625,1,0,3.8,2,0,95,.250,1388.0,0.0,4,2,3,6.5,7.4,143,.500,.500,.667,-7,.619,0,3,16.6,11,8,3,Xavier Tillman Sr.,0,4
.667,0,0.0,20210521,MEM,0.0,0,0.0,0,.833,0,0,0.0,0,1,117,.000,580.0,0.0,2,1,0,0.0,0.0,163,0,.667,.500,+5,.833,0,0,13.4,5,3,2,De'Anthony Melton,0,0
0,0,0.0,20210521,MEM,0.0,2,0.0,0,0,0,0,0.0,2,1,117,0,435.0,0.0,0,0,0,0.0,0.0,250,1.000,0,0,+6,1.136,0,0,5.3,2,0,0,Tyus Jones,0,0
0,0,0,20210521,MEM,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Killian Tillie,0,0
0,0,0,20210521,MEM,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tim Frazier,0,0
0,0,0,20210521,MEM,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Brandon Clarke,0,0
0,0,0,20210521,MEM,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Justise Winslow,0,0
0,0,0,20210521,MEM,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,John Konchar,0,0
.536,4,4.7,20210521,GSW,2.7,7,6.3,0,.571,5,7,0.0,7,5,112,.250,2843.0,18.4,13,6,1,3.2,20.4,107,1.000,.464,.400,+4,.627,0,3,34.4,39,28,15,Stephen Curry,1,3
.091,16,19.8,20210521,GSW,2.8,0,33.3,1,.500,10,6,1.9,0,3,104,.000,2705.0,35.3,5,1,1,1.1,32.5,88,0,.455,1.000,-2,.500,0,1,16.1,11,11,1,Draymond Green,1,15
.182,10,12.6,20210521,GSW,2.8,1,20.3,2,.477,2,2,3.8,1,4,111,.045,2658.0,8.2,10,1,1,0.0,8.0,97,1.000,.455,.250,-8,.490,0,0,23.6,22,22,4,Andrew Wiggins,1,9
.417,4,8.8,20210521,GSW,4.9,1,11.8,1,.375,2,0,3.3,4,2,106,.333,1530.0,0.0,4,1,1,3.9,12.3,88,.250,.333,.200,-10,.363,0,2,23.1,10,12,5,Kent Bazemore,1,3
.000,4,9.1,20210521,GSW,15.5,1,4.1,1,1.000,3,1,3.4,2,3,114,2.000,1467.0,34.7,1,0,3,2.1,16.3,144,.500,1.000,0,-15,.798,0,1,5.0,3,1,0,Kevon Looney,1,1
.455,3,4.4,20210521,GSW,0.0,4,7.9,1,.682,4,1,2.2,4,4,118,.364,2274.0,7.3,6,3,0,0.0,16.6,146,1.000,.545,.600,+9,.745,0,0,15.5,19,11,5,Jordan Poole,0,3
.400,7,12.3,20210521,GSW,15.9,2,9.5,1,.200,4,4,2.7,2,2,117,.400,1901.0,40.5,1,0,4,0.0,16.6,79,1.000,.200,.000,+11,.340,0,0,13.4,4,5,2,Juan Toscano-Anderson,0,3
.500,0,0.0,20210521,GSW,0.0,0,0.0,0,.500,0,0,0.0,0,0,123,.000,522.0,0.0,2,0,0,0.0,0.0,100,0,.500,.000,-14,.500,0,0,19.7,4,4,2,Mychal Mulder,0,0
0,0,0,20210521,GSW,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Alen Smailagić,0,0
