trb_pct,orb_pct,usg_pct,fg_pct,pf,ast,pm,efg_pct,pts,trb,team_abbr,ts_pct,orb,fga,tov_pct,drtg,tov,ft,inactive,ortg,starter,ftr,blk_pct,player_name,drb_pct,threep_pct,bpm,threepar,threepa,date,fg,ft_pct,fta,drb,threep,ast_pct,stl,stl_pct,blk,sp
11.5,3.5,15.5,.500,1,1,-5,.500,12,7,CHA,.661,1,6,24.8,96,3,6,0,106,1,1.167,0.0,Kwame Brown,18.8,0,1.4,.000,0,20110325,3,.857,7,6,0,4.6,1,1.4,0,2359.0
3.4,0.0,22.7,.385,1,4,-2,.423,14,2,CHA,.489,0,13,17.3,102,3,3,0,90,1,.231,0.0,D.J. Augustin,6.4,.250,-3.7,.308,4,20110325,5,1.000,3,2,1,21.0,0,0.0,0,2308.0
14.8,0.0,33.4,.286,5,2,+6,.286,8,6,CHA,.277,0,14,17.2,93,3,0,0,52,1,.071,3.2,Boris Diaw,28.0,.000,-14.8,.357,5,20110325,4,.000,1,6,0,16.0,0,0.0,1,1583.0
19.8,23.9,21.8,.111,3,3,-11,.111,4,7,CHA,.202,4,9,0.0,94,0,2,0,78,1,.222,0.0,Dominic McGuire,16.1,.000,-3.0,.111,1,20110325,1,1.000,2,3,0,22.5,1,2.4,0,1376.0
5.8,12.3,28.6,.625,4,1,+3,.625,15,2,CHA,.705,2,8,15.8,104,2,5,0,125,1,.750,0.0,Gerald Henderson,0.0,.000,3.9,.125,1,20110325,5,.833,6,0,0,11.1,0,0.0,0,1341.0
13.1,0.0,8.1,.667,5,0,+15,.667,4,5,CHA,.667,0,3,25.0,82,1,0,0,92,0,.000,6.9,Dante Cunningham,24.8,0,3.8,.000,0,20110325,2,0,0,5,0,0.0,2,4.5,2,1489.0
15.9,0.0,23.4,.700,2,1,0,.700,17,6,CHA,.751,0,10,0.0,91,0,3,0,153,0,.300,0.0,D.J. White,30.2,0,15.5,.000,0,20110325,7,1.000,3,6,0,12.1,1,2.3,0,1467.0
6.7,0.0,19.2,.600,1,3,+1,.600,9,2,CHA,.712,0,5,13.7,91,1,3,0,133,0,.600,4.4,Shaun Livingston,12.8,0,13.9,.000,0,20110325,3,1.000,3,2,0,33.1,1,2.9,1,1158.0
0.0,0.0,6.3,.000,3,0,+1,.000,0,0,CHA,.000,0,1,50.0,89,1,0,0,0,0,.000,0.0,Matt Carroll,0.0,0,-5.6,.000,0,20110325,0,0,0,0,0,0.0,2,6.9,0,970.0
0.0,0.0,8.7,0,1,0,+2,0,0,0,CHA,0,0,0,100.0,104,1,0,0,0,0,0,0.0,Eduardo Nájera,0.0,0,-15.6,0,0,20110325,0,0,0,0,0,0.0,0,0.0,0,350.0
0,0,0,0,0,0,0,0,0,0,CHA,0,0,0,0,0,0,0,0,0,0,0,0,Garrett Temple,0,0,0,0,0,20110325,0,0,0,0,0,0,0,0,0,0.0
0,0,0,0,0,0,0,0,0,0,CHA,0,0,0,0,0,0,0,0,0,0,0,0,Tyrus Thomas,0,0,0,0,0,20110325,0,0,0,0,0,0,0,0,0,0.0
6.5,3.1,16.2,.625,2,5,+2,.625,10,4,BOS,.625,1,8,38.5,101,5,0,0,86,1,.000,0.0,Rajon Rondo,10.4,0,-4.4,.000,0,20110325,5,0,0,3,0,26.4,0,0.0,0,2379.0
8.4,3.2,18.5,.222,2,1,+2,.333,14,5,BOS,.559,1,9,13.8,97,2,8,0,109,1,.889,0.0,Ray Allen,14.2,.286,2.3,.778,7,20110325,2,1.000,8,4,2,4.7,1,1.4,0,2318.0
18.5,3.9,18.7,.667,4,1,+2,.667,12,9,BOS,.667,1,9,25.0,92,3,0,0,98,1,.000,5.2,Kevin Garnett,34.7,.000,3.0,.111,1,20110325,6,0,0,8,0,7.6,0,0.0,2,1896.0
6.4,0.0,28.3,.429,4,4,-5,.464,18,3,BOS,.514,0,14,0.0,94,0,5,0,116,1,.571,2.7,Paul Pierce,13.5,.200,12.1,.357,5,20110325,6,.625,8,3,1,32.3,1,1.8,1,1827.0
19.8,9.4,20.0,.286,2,0,+17,.286,7,8,BOS,.363,2,7,9.4,94,1,3,0,79,1,.857,3.2,Nenad Krstić,31.3,0,-3.7,.000,0,20110325,2,.500,6,6,0,0.0,0,0.0,1,1576.0
12.6,19.2,14.3,.429,1,2,-7,.429,7,5,BOS,.470,4,7,0.0,100,0,1,0,123,0,.143,3.2,Jeff Green,5.3,0,6.8,.000,0,20110325,3,1.000,1,1,0,16.0,0,0.0,1,1541.0
8.0,0.0,26.9,.300,6,1,-13,.300,9,3,BOS,.398,0,10,15.0,100,2,3,0,75,0,.300,0.0,Glen Davis,16.9,0,-10.1,.000,0,20110325,3,1.000,3,3,0,8.5,0,0.0,0,1465.0
0.0,0.0,19.0,.167,2,1,-9,.167,2,0,BOS,.167,0,6,14.3,97,1,0,0,38,0,.000,0.0,Delonte West,0.0,.000,-11.0,.333,2,20110325,1,0,0,0,0,10.0,1,3.1,0,1091.0
0.0,0.0,19.3,1.000,1,0,+1,1.000,2,0,BOS,1.000,0,1,50.0,103,1,0,0,74,0,.000,0.0,Carlos Arroyo,0.0,0,-7.2,.000,0,20110325,1,0,0,0,0,0.0,0,0.0,0,307.0
0,0,0,0,0,0,0,0,0,0,BOS,0,0,0,0,0,0,0,0,0,0,0,0,Avery Bradley,0,0,0,0,0,20110325,0,0,0,0,0,0,0,0,0,0.0
0,0,0,0,0,0,0,0,0,0,BOS,0,0,0,0,0,0,0,0,0,0,0,0,Troy Murphy,0,0,0,0,0,20110325,0,0,0,0,0,0,0,0,0,0.0
0,0,0,0,0,0,0,0,0,0,BOS,0,0,0,0,0,0,0,0,0,0,0,0,Sasha Pavlović,0,0,0,0,0,20110325,0,0,0,0,0,0,0,0,0,0.0
0,0,0,0,0,0,0,0,0,0,CHA,0,0,0,0,0,0,0,1,0,0,0,0,DeSagana Diop,0,0,0,0,0,20110325,0,0,0,0,0,0,0,0,0,0.0
0,0,0,0,0,0,0,0,0,0,CHA,0,0,0,0,0,0,0,1,0,0,0,0,Stephen Jackson,0,0,0,0,0,20110325,0,0,0,0,0,0,0,0,0,0.0
0,0,0,0,0,0,0,0,0,0,CHA,0,0,0,0,0,0,0,1,0,0,0,0,Joel Przybilla,0,0,0,0,0,20110325,0,0,0,0,0,0,0,0,0,0.0
0,0,0,0,0,0,0,0,0,0,BOS,0,0,0,0,0,0,0,1,0,0,0,0,Jermaine O'Neal,0,0,0,0,0,20110325,0,0,0,0,0,0,0,0,0,0.0
0,0,0,0,0,0,0,0,0,0,BOS,0,0,0,0,0,0,0,1,0,0,0,0,Shaquille O'Neal,0,0,0,0,0,20110325,0,0,0,0,0,0,0,0,0,0.0
0,0,0,0,0,0,0,0,0,0,BOS,0,0,0,0,0,0,0,1,0,0,0,0,Von Wafer,0,0,0,0,0,20110325,0,0,0,0,0,0,0,0,0,0.0
