ftr,fga,ast,starter,ft,stl,fg_pct,ast_pct,ts_pct,fg,threep_pct,date,ortg,trb,pts,orb,blk_pct,team_abbr,drb,tov_pct,ft_pct,usg_pct,fta,sp,stl_pct,efg_pct,tov,trb_pct,threep,threepar,orb_pct,blk,pf,player_name,drtg,inactive,threepa,drb_pct,pm
.190,21,6,1,2,0,.667,24.8,.659,14,0,20220415,132,6,30,0,0.0,NOP,6,8.1,.500,26.0,4,2559.0,0.0,.667,2,6.8,0,.000,0.0,0,2,Brandon Ingram,113,0,0,13.8,+3
.083,24,3,1,0,0,.375,10.4,.382,9,.143,20220415,84,2,19,0,2.3,NOP,2,7.4,.000,28.5,2,2542.0,0.0,.396,2,2.3,1,.292,0.0,1,3,CJ McCollum,115,0,7,4.6,-1
.333,6,1,1,2,0,.333,3.6,.509,2,.333,20220415,108,7,7,1,3.0,NOP,6,12.7,1.000,10.7,2,1983.0,0.0,.417,1,10.3,1,.500,2.9,1,5,Herbert Jones,109,0,3,17.8,-7
.444,9,0,1,2,0,.333,0.0,.372,3,.000,20220415,96,9,8,5,0.0,NOP,4,8.5,.500,21.1,4,1502.0,0.0,.333,1,17.4,0,.222,19.2,0,3,Jonas Valančiūnas,112,0,2,15.7,-12
.333,3,1,1,0,1,.667,9.1,.581,2,0,20220415,127,3,4,0,0.0,NOP,3,0.0,.000,10.6,1,874.0,3.6,.667,0,10.0,0,.000,0.0,0,3,Jaxson Hayes,102,0,0,20.2,-8
.250,8,4,0,0,1,.875,27.4,.788,7,0,20220415,173,16,14,7,4.1,NOP,9,0.0,.000,16.5,2,1447.0,2.2,.875,0,32.2,0,.000,27.9,1,5,Larry Nance Jr.,97,0,0,36.6,+13
.286,7,2,0,2,0,.571,11.5,.888,4,.667,20220415,191,5,14,1,0.0,NOP,4,0.0,1.000,14.8,2,1431.0,0.0,.857,0,10.2,4,.857,4.0,0,0,Trey Murphy III,112,0,6,16.4,+26
.400,5,3,0,2,0,.200,20.9,.340,1,.000,20220415,103,4,4,3,0.0,NOP,1,14.5,1.000,18.0,2,1030.0,0.0,.200,1,11.3,0,.200,16.8,0,3,Jose Alvarado,115,0,1,5.7,+12
6.000,1,0,0,3,0,.000,0.0,.412,0,.000,20220415,70,2,3,0,0.0,NOP,2,21.6,.500,21.2,6,588.0,0.0,.000,1,9.9,0,1.000,0.0,0,0,Naji Marshall,111,0,1,20.0,-2
.000,1,0,0,0,0,.000,0.0,.000,0,.000,20220415,0,0,0,0,0.0,NOP,0,0.0,0,11.8,0,228.0,0.0,.000,0,0.0,0,1.000,0.0,0,2,Tony Snell,115,0,1,0.0,-9
.000,3,0,0,0,0,.333,0.0,.333,1,.000,20220415,77,0,2,0,0.0,NOP,0,0.0,0,37.4,0,216.0,0.0,.333,0,0.0,0,.333,0.0,0,0,Devonte' Graham,118,0,1,0.0,+5
