team_abbr,drb_pct,fta,blk_pct,threepar,tov,player_name,ts_pct,fg,threep_pct,drtg,ast_pct,usg_pct,threepa,fg_pct,ftr,orb,fga,starter,inactive,date,ast,drb,orb_pct,threep,stl,ortg,pf,ft_pct,pts,pm,trb_pct,blk,tov_pct,efg_pct,sp,trb,bpm,ft,stl_pct
GSW,17.5,2,0.0,.600,0,Harrison Barnes,.510,2,.333,93,12.5,8.8,3,.400,.400,2,5,1,0,20150227,3,5,7.5,1,1,134,1,.500,6,+45,12.7,0,0.0,.500,1785.0,7,2.6,1,1.7
GSW,3.7,2,3.1,.444,0,Klay Thompson,.662,9,.625,94,31.9,29.9,8,.500,.111,0,18,1,0,20150227,5,1,0.0,5,1,136,2,1.000,25,+44,1.9,1,0.0,.639,1693.0,1,15.9,2,1.7
GSW,30.0,2,9.4,.556,0,Draymond Green,.860,6,.600,79,10.9,15.9,5,.667,.222,1,9,1,0,20150227,2,8,4.0,3,2,171,3,1.000,17,+43,17.4,3,0.0,.833,1669.0,9,18.9,2,3.5
GSW,12.5,3,0.0,.308,2,Stephen Curry,.768,8,.750,90,36.0,29.2,4,.615,.231,3,13,1,0,20150227,5,3,13.4,3,2,142,0,1.000,22,+33,12.9,0,12.3,.731,1501.0,6,20.0,3,3.9
GSW,44.6,2,0.0,.000,3,Andrew Bogut,.644,2,0,79,20.9,16.4,0,.667,.667,0,3,1,0,20150227,3,8,0.0,0,2,83,3,.500,5,+27,23.1,0,43.6,.667,1122.0,8,2.8,1,5.3
GSW,9.8,2,0.0,.000,1,Shaun Livingston,.799,5,0,94,58.4,16.5,0,.833,.333,0,6,0,0,20150227,8,2,0.0,0,1,158,2,.500,11,-5,5.0,0,12.7,.833,1282.0,2,13.2,1,2.3
GSW,14.9,2,0.0,.000,3,Marreese Speights,.450,3,0,97,6.5,25.2,0,.375,.250,2,8,0,0,20150227,1,3,10.6,0,0,81,3,1.000,8,-11,12.8,0,25.3,.375,1263.0,5,-13.2,2,0.0
GSW,5.2,0,0.0,.000,1,David Lee,.571,4,0,95,7.3,17.7,0,.571,.000,1,7,0,0,20150227,1,1,5.5,0,1,105,2,0,8,-19,5.3,0,12.5,.571,1211.0,2,-2.7,0,2.4
GSW,5.3,4,0.0,.429,0,Leandro Barbosa,.628,3,.333,100,7.0,19.8,3,.429,.571,0,7,0,0,20150227,1,1,0.0,1,0,135,2,1.000,11,-20,2.7,0,0.0,.500,1187.0,1,-1.0,4,0.0
GSW,24.4,0,0.0,.571,1,Justin Holiday,.000,0,.000,87,8.9,27.9,4,.000,.000,0,7,0,0,20150227,1,3,0.0,0,1,10,2,0,0,-17,12.6,0,12.5,.000,770.0,3,-27.4,0,3.8
