trb_pct,orb_pct,usg_pct,fg_pct,pf,ast,pm,efg_pct,pts,trb,team_abbr,ts_pct,orb,fga,tov_pct,drtg,tov,ft,inactive,ortg,starter,ftr,blk_pct,player_name,drb_pct,threep_pct,bpm,threepar,threepa,date,fg,ft_pct,fta,drb,threep,ast_pct,stl,stl_pct,blk,sp
3.6,0.0,21.6,.125,3,8,-2,.125,5,3,OKC,.148,0,16,26.2,109,6,1,0,46,1,.125,0.0,Paul George,7.0,.000,-15.1,.375,6,20180427,2,.500,2,3,0,24.2,1,1.2,0,2727.0
12.3,2.5,49.7,.419,3,5,-1,.500,46,10,OKC,.504,1,43,9.9,101,5,3,0,103,1,.140,0.0,Russell Westbrook,21.9,.368,14.0,.442,19,20180427,18,.500,6,9,7,31.7,2,2.4,0,2628.0
22.0,22.2,13.6,.818,3,3,+4,.818,19,16,OKC,.830,8,11,8.0,102,1,1,0,166,1,.091,2.2,Steven Adams,21.7,0,12.2,.000,0,20180427,9,1.000,1,8,0,14.1,1,1.3,1,2358.0
6.3,0.0,14.9,.429,2,0,-19,.429,7,3,OKC,.444,0,7,11.3,109,1,1,0,86,1,.286,0.0,Carmelo Anthony,12.5,0,-8.1,.000,0,20180427,3,.500,2,3,0,0.0,0,0.0,0,1539.0
0.0,0.0,5.6,.500,2,0,-7,.500,2,0,OKC,.500,0,2,0.0,108,0,0,0,111,1,.000,5.6,Corey Brewer,0.0,.000,-5.0,.500,1,20180427,1,0,0,0,0,0.0,0,0.0,1,915.0
5.5,7.4,10.0,.500,4,2,+8,.667,9,3,OKC,.654,2,6,0.0,109,0,1,0,153,0,.333,2.9,Jerami Grant,3.6,.500,3.0,.667,4,20180427,3,.500,2,1,2,10.1,0,0.0,1,1770.0
16.2,10.9,6.4,.000,1,0,-5,.000,0,6,OKC,.000,2,3,0.0,98,0,0,0,38,0,.000,4.3,Álex Abrines,21.3,.000,-3.5,.667,2,20180427,0,0,0,4,0,0.0,1,2.6,1,1202.0
33.5,19.4,19.1,.200,1,2,+4,.300,3,7,OKC,.300,2,5,0.0,99,0,0,0,105,0,.000,0.0,Raymond Felton,47.3,.500,3.1,.400,2,20180427,1,0,0,5,1,26.0,0,0.0,0,676.0
6.3,0.0,0.0,0,2,0,-4,0,0,1,OKC,0,0,0,0,94,0,0,0,0,0,0,0.0,Josh Huestis,12.5,0,-2.4,0,0,20180427,0,0,0,1,0,0.0,1,6.2,0,511.0
0.0,0.0,0.0,0,0,0,-3,0,0,0,OKC,0,0,0,0,114,0,0,0,0,0,0,0.0,Patrick Patterson,0.0,0,-7.0,0,0,20180427,0,0,0,0,0,0.0,0,0.0,0,75.0
0,0,0,0,0,0,0,0,0,0,OKC,0,0,0,0,0,0,0,0,0,0,0,0,Nick Collison,0,0,0,0,0,20180427,0,0,0,0,0,0,0,0,0,0.0
0,0,0,0,0,0,0,0,0,0,OKC,0,0,0,0,0,0,0,0,0,0,0,0,Terrance Ferguson,0,0,0,0,0,20180427,0,0,0,0,0,0,0,0,0,0.0
0,0,0,0,0,0,0,0,0,0,OKC,0,0,0,0,0,0,0,0,0,0,0,0,Dakari Johnson,0,0,0,0,0,20180427,0,0,0,0,0,0,0,0,0,0.0
9.0,2.5,16.2,.364,2,5,+16,.500,12,7,UTA,.505,1,11,20.2,100,3,1,0,98,1,.182,0.0,Joe Ingles,15.6,.500,1.6,.545,6,20180427,4,.500,2,6,3,17.7,2,2.5,0,2515.0
5.4,2.7,37.7,.538,5,2,-6,.635,38,4,UTA,.674,1,26,15.1,105,5,5,0,117,1,.192,0.0,Donovan Mitchell,8.1,.625,9.3,.308,8,20180427,14,1.000,5,3,5,11.8,1,1.3,0,2414.0
18.0,11.0,13.3,.556,1,0,-1,.556,12,13,UTA,.581,4,9,8.8,92,1,2,0,121,1,.333,6.3,Rudy Gobert,25.2,0,5.2,.000,0,20180427,5,.667,3,9,0,0.0,2,2.7,3,2337.0
11.1,5.5,14.2,.667,2,1,+18,.667,13,8,UTA,.538,2,9,0.0,99,0,1,0,116,1,.778,4.2,Derrick Favors,16.9,.000,3.7,.111,1,20180427,6,.143,7,6,0,4.2,1,1.4,2,2325.0
7.6,0.0,6.4,.000,0,3,-2,.000,0,1,UTA,.000,0,1,0.0,106,0,0,0,112,1,.000,0.0,Ricky Rubio,15.3,.000,2.7,1.000,1,20180427,0,0,0,1,0,54.6,0,0.0,0,428.0
3.5,3.5,16.4,.200,4,2,-9,.250,5,2,UTA,.250,1,10,9.1,110,1,0,0,65,0,.000,0.0,Jae Crowder,3.6,.200,-10.0,.500,5,20180427,2,0,0,1,1,9.3,0,0.0,0,1836.0
5.8,0.0,15.5,.500,2,2,+5,.500,5,2,UTA,.470,0,4,15.8,100,1,1,0,93,0,.750,0.0,Royce O'Neale,11.7,.000,0.2,.250,1,20180427,2,.333,3,2,0,16.2,1,2.8,0,1116.0
3.2,0.0,31.0,.444,1,1,+7,.500,11,1,UTA,.533,0,9,8.8,102,1,2,0,104,0,.333,0.0,Alec Burks,6.5,.333,4.4,.333,3,20180427,4,.667,3,1,1,11.3,1,3.1,0,1001.0
27.8,54.9,35.3,.000,0,0,+1,.000,0,2,UTA,.000,2,3,0.0,83,0,0,0,46,0,.000,0.0,Jonas Jerebko,0.0,.000,-12.5,.333,1,20180427,0,0,0,0,0,0.0,1,13.5,0,233.0
0.0,0.0,14.0,0,0,0,-4,0,0,0,UTA,0,0,0,100.0,113,1,0,0,0,0,0,0.0,Dante Exum,0.0,0,-23.5,0,0,20180427,0,0,0,0,0,0.0,0,0.0,0,196.0
0,0,0,0,0,0,0,0,0,0,UTA,0,0,0,0,0,0,0,0,0,0,0,0,Raul Neto,0,0,0,0,0,20180427,0,0,0,0,0,0,0,0,0,0.0
0,0,0,0,0,0,0,0,0,0,UTA,0,0,0,0,0,0,0,0,0,0,0,0,David Stockton,0,0,0,0,0,20180427,0,0,0,0,0,0,0,0,0,0.0
0,0,0,0,0,0,0,0,0,0,UTA,0,0,0,0,0,0,0,0,0,0,0,0,Ekpe Udoh,0,0,0,0,0,20180427,0,0,0,0,0,0,0,0,0,0.0
0,0,0,0,0,0,0,0,0,0,OKC,0,0,0,0,0,0,0,1,0,0,0,0,Andre Roberson,0,0,0,0,0,20180427,0,0,0,0,0,0,0,0,0,0.0
0,0,0,0,0,0,0,0,0,0,OKC,0,0,0,0,0,0,0,1,0,0,0,0,Kyle Singler,0,0,0,0,0,20180427,0,0,0,0,0,0,0,0,0,0.0
0,0,0,0,0,0,0,0,0,0,UTA,0,0,0,0,0,0,0,1,0,0,0,0,Tony Bradley,0,0,0,0,0,20180427,0,0,0,0,0,0,0,0,0,0.0
0,0,0,0,0,0,0,0,0,0,UTA,0,0,0,0,0,0,0,1,0,0,0,0,Thabo Sefolosha,0,0,0,0,0,20180427,0,0,0,0,0,0,0,0,0,0.0
