ftr,fga,ast,starter,ft,stl,fg_pct,ast_pct,ts_pct,fg,threep_pct,date,ortg,trb,pts,orb,blk_pct,team_abbr,drb,tov_pct,ft_pct,usg_pct,fta,sp,stl_pct,efg_pct,tov,trb_pct,threep,threepar,orb_pct,blk,pf,player_name,drtg,inactive,threepa,drb_pct,pm
.250,12,7,1,3,3,.333,23.2,.450,4,.500,20220412,102,7,12,1,0.0,CLE,6,13.1,1.000,15.9,3,2400.0,3.6,.375,2,10.1,1,.167,2.8,0,3,Caris LeVert,112,0,2,18.0,+2
.250,24,5,1,5,2,.542,24.3,.638,13,.500,20220412,106,1,34,0,0.0,CLE,1,18.4,.833,34.4,6,2357.0,2.5,.604,6,1.5,3,.250,0.0,0,3,Darius Garland,117,0,6,3.1,-11
.154,13,2,1,1,0,.692,9.6,.684,9,0,20220412,111,7,19,1,4.9,CLE,6,17.8,.500,20.0,2,2101.0,0.0,.692,3,11.6,0,.000,3.2,2,5,Evan Mobley,115,0,0,20.6,-3
.143,14,0,1,2,3,.357,0.0,.437,5,.250,20220412,102,4,13,3,0.0,CLE,1,0.0,1.000,21.5,2,1725.0,5.0,.393,0,8.0,1,.286,11.6,0,2,Lauri Markkanen,111,0,4,4.2,-10
.000,3,1,1,0,0,.000,8.7,.000,0,.000,20220412,43,1,0,1,0.0,CLE,0,0.0,0,9.3,0,805.0,0.0,.000,0,4.3,0,1.000,8.3,0,2,Isaac Okoro,123,0,3,0.0,-9
.182,11,1,0,1,1,.455,5.0,.589,5,.750,20220412,120,13,14,4,0.0,CLE,9,7.8,.500,18.1,2,1766.0,1.6,.591,1,25.5,3,.364,15.2,0,0,Kevin Love,113,0,4,36.7,+10
.000,8,9,0,0,0,.375,46.2,.438,3,.200,20220412,93,3,7,0,0.0,CLE,3,27.3,0,17.3,0,1579.0,0.0,.438,3,6.6,1,.625,0.0,0,4,Rajon Rondo,120,0,5,13.7,+2
.500,4,1,0,2,0,.000,5.5,.205,0,.000,20220412,60,4,2,0,0.0,CLE,4,0.0,1.000,9.5,2,1276.0,0.0,.000,0,10.9,0,.500,0.0,0,1,Cedi Osman,119,0,2,22.6,-4
1.000,3,0,0,3,0,.667,0.0,.810,2,0,20220412,170,0,7,0,0.0,CLE,0,0.0,1.000,27.5,3,391.0,0.0,.667,0,0.0,0,.000,0.0,0,1,Lamar Stevens,123,0,0,0.0,-12
0,0,0,0,0,0,0,0,0,0,0,20220412,0,0,0,0,0,CLE,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,Dylan Windler,0,0,0,0,0
