trb_pct,orb_pct,usg_pct,fg_pct,pf,ast,pm,efg_pct,pts,trb,team_abbr,ts_pct,orb,fga,tov_pct,drtg,tov,ft,inactive,ortg,starter,ftr,blk_pct,player_name,drb_pct,threep_pct,bpm,threepar,threepa,date,fg,ft_pct,fta,drb,threep,ast_pct,stl,stl_pct,blk,sp
12.8,11.3,26.0,.333,1,7,+32,.389,15,9,BOS,.397,4,18,17.5,89,4,1,0,93,1,.111,0.0,Jayson Tatum,14.4,.250,-1.3,.444,8,20220206,6,.500,2,5,2,25.7,1,1.4,0,2124.0
19.2,13.8,16.7,.500,1,5,+26,.542,13,11,BOS,.542,4,12,0.0,83,0,0,0,141,1,.000,3.0,Al Horford,24.7,.167,11.3,.500,6,20220206,6,0,0,7,1,23.6,1,1.7,1,1738.0
8.8,3.5,36.6,.455,2,3,+15,.477,26,5,BOS,.537,1,22,7.6,80,2,5,0,113,1,.227,0.0,Jaylen Brown,14.2,.111,8.0,.409,9,20220206,10,1.000,5,4,1,17.6,3,5.1,0,1729.0
11.0,14.5,8.6,.800,4,1,+8,.800,10,6,BOS,.850,4,5,0.0,81,0,2,0,190,1,.400,6.3,Robert Williams,7.4,0,7.4,.000,0,20220206,4,1.000,2,2,0,4.6,2,3.5,2,1654.0
16.4,0.0,12.2,.333,1,2,+7,.333,3,8,BOS,.436,0,3,53.8,79,4,1,0,53,1,.333,3.5,Marcus Smart,33.2,.000,-7.4,.667,2,20220206,1,1.000,1,8,0,9.1,1,2.0,1,1478.0
5.5,3.6,14.6,.556,2,3,+11,.667,12,3,BOS,.667,1,9,10.0,87,1,0,0,133,0,.000,3.2,Grant Williams,7.4,.500,7.2,.444,4,20220206,5,0,0,2,2,14.4,1,1.8,1,1656.0
13.3,3.8,13.6,.000,2,3,+26,.000,0,7,BOS,.000,1,8,11.1,87,1,0,0,33,0,.000,3.3,Josh Richardson,23.0,.000,-12.8,.750,6,20220206,0,0,0,6,0,12.0,0,0.0,1,1600.0
10.0,4.9,35.5,.533,3,2,+15,.667,22,4,BOS,.693,1,15,11.2,91,2,2,0,126,0,.133,0.0,Dennis Schröder,15.1,.500,10.9,.533,8,20220206,8,1.000,2,3,4,18.2,0,0.0,0,1217.0
0.0,0.0,26.1,.750,0,0,+8,1.000,8,0,BOS,1.000,0,4,0.0,96,0,0,0,184,0,.000,0.0,Romeo Langford,0.0,1.000,28.6,.500,2,20220206,3,0,0,0,2,0.0,0,0.0,0,371.0
0.0,0.0,23.1,1.000,1,1,+5,1.250,7,0,BOS,1.215,0,2,0.0,96,0,2,0,247,0,1.000,0.0,Payton Pritchard,0.0,1.000,36.7,.500,1,20220206,2,1.000,2,0,1,37.0,0,0.0,0,301.0
