ftr,fga,ast,starter,ft,stl,fg_pct,ast_pct,ts_pct,fg,threep_pct,date,ortg,trb,pts,orb,blk_pct,team_abbr,drb,tov_pct,ft_pct,usg_pct,fta,sp,stl_pct,efg_pct,tov,trb_pct,threep,threepar,orb_pct,blk,pf,player_name,drtg,inactive,threepa,drb_pct,pm
.125,16,4,1,1,1,.625,17.6,.681,10,.400,20210518,125,8,23,2,1.9,CHO,6,10.6,.500,20.8,2,2195.0,1.2,.688,2,11.7,2,.313,5.4,1,2,Miles Bridges,129,0,5,19.2,-25
.100,20,6,1,2,1,.350,24.8,.383,7,.000,20210518,87,8,16,0,2.0,CHO,8,4.6,1.000,25.3,2,2089.0,1.2,.350,1,12.3,0,.450,0.0,1,1,Terry Rozier,127,0,9,26.9,-32
.000,10,1,1,0,0,.300,4.1,.400,3,.400,20210518,99,7,8,3,4.5,CHO,4,0.0,0,13.2,0,1830.0,0.0,.400,0,12.2,2,.500,9.6,2,1,P.J. Washington,131,0,5,15.4,-26
.429,14,4,1,4,0,.286,19.8,.421,4,.333,20210518,79,1,14,1,0.0,CHO,0,19.4,.667,30.8,6,1620.0,0.0,.357,4,2.0,2,.429,3.6,0,1,LaMelo Ball,137,0,6,0.0,-35
0,0,0,1,0,0,0,0.0,0,0,0,20210518,0,0,0,0,0.0,CHO,0,0,0,0.0,0,200.0,0.0,0,0,0.0,0,0,0.0,0,0,Bismack Biyombo,137,0,0,0.0,-7
.429,7,2,0,3,2,1.000,10.9,1.022,7,0,20210518,159,3,17,0,0.0,CHO,3,19.4,1.000,14.8,3,1693.0,3.1,1.000,2,5.7,0,.000,0.0,0,2,Cody Zeller,127,0,0,12.4,-20
.250,8,4,0,1,1,.125,23.4,.225,1,.143,20210518,70,2,4,0,0.0,CHO,2,0.0,.500,17.7,2,1212.0,2.1,.188,0,5.3,1,.875,0.0,0,1,Devonte' Graham,130,0,7,11.6,-3
.000,10,2,0,0,0,.500,16.5,.650,5,.600,20210518,114,1,13,0,0.0,CHO,1,9.1,0,23.2,0,1146.0,0.0,.650,1,2.8,3,.500,0.0,0,0,Malik Monk,136,0,5,6.1,-12
1.500,2,0,0,3,2,.500,0.0,.753,1,0,20210518,93,1,5,0,4.4,CHO,1,37.6,1.000,13.6,3,945.0,5.5,.500,2,3.4,0,.000,0.0,1,5,Jalen McDaniels,120,0,0,7.4,-8
0,4,1,0,0,1,.750,0.0,0,3,.667,20210518,0,0,8,0,11.9,CHO,0,100.0,0,14.0,0,345.0,0.0,0,0,9.3,2,0,0.0,0,0,Vernon Carey Jr.,124,0,3,20.4,+6
.000,0,0,0,0,0,0,46.5,1.000,0,0,20210518,176,1,0,0,0.0,CHO,1,0.0,0,28.1,0,345.0,7.5,1.000,2,0.0,0,.750,0.0,1,0,Caleb Martin,120,0,0,0.0,+6
.000,2,0,0,2,0,.500,34.7,1.000,1,0,20210518,212,1,4,0,0.0,CHO,1,0.0,.667,9.3,3,260.0,0.0,1.000,0,36.9,0,.000,22.6,0,0,Nate Darling,125,0,0,54.0,+7
