trb_pct,blk_pct,threep_pct,fg_pct,ast_pct,team_abbr,ts_pct,orb_pct,sp,orb,threepar,efg_pct,stl,pm,blk,fga,drb_pct,tov_pct,fta,player_name,usg_pct,pts,date,bpm,drtg,ft_pct,ftr,drb,ast,pf,stl_pct,ortg,fg,ft,trb,inactive,threep,threepa,tov,starter
2.6,0.0,.000,.417,0.0,BOS,.478,2.6,2277.0,1,.250,.417,2,-15,0,12,2.6,12.0,6,Avery Bradley,18.4,14,20160110,-6.6,111,.667,.500,1,0,4,2.6,89,5,4,2,0,0,3,2,1
4.6,0.0,.500,.579,58.5,BOS,.762,0.0,1920.0,0,.421,.684,1,+2,0,19,9.2,8.0,9,Isaiah Thomas,32.8,35,20160110,22.0,109,1.000,.474,3,8,2,1.5,149,11,9,3,0,4,8,2,1
14.1,2.2,1.000,.833,20.7,BOS,.810,6.3,1894.0,2,.167,.917,0,+7,1,6,21.7,25.8,6,Amir Johnson,15.5,14,20160110,4.7,104,.500,1.000,7,4,4,0.0,123,5,3,9,0,1,1,3,1
3.3,0.0,.333,.364,10.3,BOS,.455,0.0,1825.0,0,.545,.455,4,+6,0,11,6.4,15.4,0,Jae Crowder,18.0,10,20160110,-0.5,100,0,.000,2,2,4,6.4,82,4,0,2,0,2,6,2,1
13.5,9.6,.000,.375,7.2,BOS,.375,4.6,1318.0,1,.125,.375,2,+3,3,8,22.3,20.0,0,Kelly Olynyk,19.1,6,20160110,-0.6,91,0,.000,5,1,3,4.4,69,3,0,6,0,0,1,2,1
7.7,0.0,0,.556,0.0,BOS,.557,3.9,1547.0,1,.000,.556,1,-2,0,9,11.4,0.0,2,Jared Sullinger,16.1,11,20160110,-3.5,107,.500,.222,3,0,5,1.9,115,5,1,4,0,0,0,0,0
12.5,0.0,.000,.222,18.4,BOS,.222,16.9,1424.0,4,.222,.222,5,-1,0,9,8.3,18.2,0,Marcus Smart,19.5,4,20160110,0.5,90,0,.000,2,3,4,10.2,68,2,0,6,0,0,2,2,0
4.7,0.0,.000,.000,18.5,BOS,.000,0.0,1259.0,0,.500,.000,0,-3,0,2,9.3,60.0,0,Evan Turner,10.0,0,20160110,-15.5,112,0,.000,2,3,2,0.0,28,0,0,2,0,0,1,3,0
15.9,0.0,0,.167,10.0,BOS,.167,12.8,936.0,2,.000,.167,2,-12,0,12,18.8,0.0,0,David Lee,32.4,4,20160110,-10.3,93,0,.000,3,1,0,6.2,52,2,0,5,0,0,0,0,0
0,0,0,0,0,BOS,0,0,0.0,0,0,0,0,0,0,0,0,0,0,Tyler Zeller,0,0,20160110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,BOS,0,0,0.0,0,0,0,0,0,0,0,0,0,0,James Young,0,0,20160110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,BOS,0,0,0.0,0,0,0,0,0,0,0,0,0,0,Jonas Jerebko,0,0,20160110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,BOS,0,0,0.0,0,0,0,0,0,0,0,0,0,0,R.J. Hunter,0,0,20160110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15.0,0.0,0,.294,5.4,MEM,.315,5.4,2176.0,2,.000,.294,0,-5,0,17,24.8,10.3,1,Marc Gasol,21.0,11,20160110,-9.3,102,1.000,.059,9,1,4,0.0,78,5,1,11,0,0,0,2,1
7.6,0.0,.250,.375,22.2,MEM,.656,0.0,1955.0,0,.500,.438,2,-1,0,8,15.3,26.7,13,Mario Chalmers,22.5,18,20160110,2.3,98,.846,1.625,5,4,4,3.0,112,3,11,5,0,1,4,5,1
15.5,2.3,1.000,.556,0.0,MEM,.644,12.3,1914.0,4,.111,.611,2,0,1,9,18.8,14.7,6,Tony Allen,16.7,15,20160110,6.9,95,.667,.667,6,0,4,3.0,126,5,4,10,0,1,1,2,1
6.3,0.0,.000,.182,16.5,MEM,.182,6.3,1880.0,2,.091,.182,2,-4,0,11,6.4,21.4,0,Jeff Green,17.5,4,20160110,-7.5,101,0,.000,2,3,1,3.1,53,2,0,4,0,0,1,3,1
14.8,4.8,.000,.333,13.0,MEM,.436,13.0,1803.0,4,.250,.333,0,-4,2,12,16.6,22.5,4,Matt Barnes,23.1,12,20160110,-3.1,100,1.000,.333,5,2,4,0.0,90,4,4,9,0,0,3,4,1
16.9,3.8,1.000,.471,12.1,MEM,.609,20.6,2283.0,8,.059,.500,1,+18,2,17,13.1,8.9,8,Zach Randolph,23.2,25,20160110,11.3,100,1.000,.471,5,2,2,1.3,139,8,8,13,0,1,1,2,0
5.0,10.9,.200,.286,0.0,MEM,.457,0.0,1197.0,0,.714,.357,1,+7,3,7,10.0,10.2,4,Vince Carter,19.2,8,20160110,4.0,93,.750,.571,2,0,3,2.4,102,2,3,2,0,1,5,1,0
12.9,4.7,0,1.000,0.0,MEM,1.042,6.4,923.0,1,.000,1.000,0,+12,1,2,19.5,41.0,2,JaMychal Green,12.4,6,20160110,2.7,100,1.000,1.000,3,0,1,0.0,117,2,2,4,0,0,0,2,0
0.0,0.0,.000,.000,0.0,MEM,.532,0.0,270.0,0,1.000,.000,0,-8,0,1,0.0,0.0,2,Elliot Williams,16.4,2,20160110,-0.9,109,1.000,2.000,0,0,0,0.0,144,0,2,0,0,0,1,0,0
0,0,0,0,0,MEM,0,0,0.0,0,0,0,0,0,0,0,0,0,0,Courtney Lee,0,0,20160110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,MEM,0,0,0.0,0,0,0,0,0,0,0,0,0,0,James Ennis III,0,0,20160110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,MEM,0,0,0.0,0,0,0,0,0,0,0,0,0,0,Mike Conley,0,0,20160110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,BOS,0,0,0.0,0,0,0,0,0,0,0,0,0,0,Jordan Mickey,0,0,20160110,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,0,0,0,0,BOS,0,0,0.0,0,0,0,0,0,0,0,0,0,0,Terry Rozier,0,0,20160110,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,0,0,0,0,MEM,0,0,0.0,0,0,0,0,0,0,0,0,0,0,Jordan Adams,0,0,20160110,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,0,0,0,0,MEM,0,0,0.0,0,0,0,0,0,0,0,0,0,0,Jarell Martin,0,0,20160110,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,0,0,0,0,MEM,0,0,0.0,0,0,0,0,0,0,0,0,0,0,Brandan Wright,0,0,20160110,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
