drtg,fta,pf,fg_pct,tov_pct,date,threep_pct,efg_pct,trb,bpm,drb,fga,tov,ts_pct,ft,player_name,ftr,ast,ortg,orb_pct,starter,ast_pct,threepa,pm,stl,sp,blk_pct,orb,drb_pct,threep,threepar,trb_pct,ft_pct,stl_pct,usg_pct,fg,team_abbr,pts,inactive,blk
121,4,2,.308,32.2,20131228,.500,.385,4,-10.9,2,13,7,.440,3,Brandon Jennings,.308,6,75,7.3,1,36.2,4,-22,0,1913.0,0.0,2,7.0,2,.308,7.2,.750,0.0,30.8,4,DET,13,0,0
110,0,3,.400,37.5,20131228,0,.400,7,-7.5,5,5,3,.400,0,Andre Drummond,.000,1,63,8.1,1,6.0,0,-27,1,1729.0,5.0,2,19.4,0,.000,13.9,0,1.8,12.5,2,DET,4,0,2
110,2,2,.667,0.0,20131228,0,.667,7,10.7,5,9,0,.709,2,Greg Monroe,.222,2,153,9.9,1,21.7,0,-26,1,1414.0,0.0,2,23.7,0,.000,17.0,1.000,2.2,18.9,6,DET,14,0,0
117,0,0,.286,12.5,20131228,.000,.286,4,-10.8,3,7,1,.286,0,Josh Smith,.000,1,65,6.6,1,10.5,2,-18,0,1067.0,0.0,1,18.8,0,.286,12.9,0,0.0,20.3,2,DET,4,0,0
117,1,2,.250,18.4,20131228,0,.250,0,-14.3,0,4,1,.225,0,Kentavious Caldwell-Pope,.250,0,39,0.0,1,0.0,0,-6,1,971.0,0.0,0,0.0,0,.000,0.0,.000,3.2,15.2,1,DET,2,0,0
121,3,3,.300,15.0,20131228,.500,.350,3,-6.2,2,10,2,.442,3,Will Bynum,.300,5,97,4.3,0,34.4,2,-3,0,1628.0,0.0,1,8.2,1,.200,6.3,1.000,0.0,22.1,3,DET,10,0,0
116,1,2,.667,0.0,20131228,.333,.750,3,7.3,1,6,0,.776,1,Josh Harrellson,.167,1,164,10.0,0,9.0,3,-1,1,1406.0,3.1,2,4.8,1,.500,7.3,1.000,2.2,12.4,4,DET,10,0,1
117,0,1,.571,22.2,20131228,.333,.643,1,0.1,0,7,2,.643,0,Kyle Singler,.000,0,94,5.5,0,0.0,3,-18,1,1278.0,3.4,1,0.0,1,.429,2.7,0,2.4,19.0,4,DET,9,0,1
111,2,1,.750,17.0,20131228,1.000,.875,5,5.5,5,4,1,.820,1,Jonas Jerebko,.500,1,127,0.0,0,14.3,1,+2,0,929.0,0.0,0,36.0,1,.250,18.5,.500,0.0,17.1,3,DET,8,0,0
100,4,0,.000,37.2,20131228,.000,.000,4,-21.6,4,5,4,.222,3,Charlie Villanueva,.800,0,31,0.0,0,0.0,4,+2,1,795.0,5.4,0,33.7,0,.800,17.3,.750,3.9,36.6,0,DET,3,0,1
