drtg,fta,pf,fg_pct,tov_pct,date,threep_pct,efg_pct,trb,bpm,drb,fga,tov,ts_pct,ft,player_name,ftr,ast,ortg,orb_pct,starter,ast_pct,threepa,pm,stl,sp,blk_pct,orb,drb_pct,threep,threepar,trb_pct,ft_pct,stl_pct,usg_pct,fg,team_abbr,pts,inactive,blk
130,2,4,.364,14.4,20061111,.250,.409,0,-7.2,0,11,2,.463,2,Chauncey Billups,.182,3,93,0.0,1,17.3,4,-24,0,1860.0,2.8,0,0.0,1,.364,0.0,1.000,0.0,21.1,4,DET,11,0,1
130,0,1,.714,0.0,20061111,.500,.786,1,5.7,1,7,0,.786,0,Tayshaun Prince,.000,3,166,0.0,1,18.8,2,-32,0,1829.0,2.9,0,4.6,1,.286,2.0,0,0.0,10.8,5,DET,11,0,1
132,0,1,.333,18.2,20061111,.000,.333,1,-16.0,1,9,2,.333,0,Ronald Murray,.000,0,58,0.0,1,0.0,2,-29,0,1516.0,0.0,0,5.6,0,.222,2.4,0,0.0,20.5,3,DET,6,0,0
123,2,3,.500,12.7,20061111,.000,.500,8,2.9,6,6,1,.581,2,Rasheed Wallace,.333,3,123,8.3,1,20.9,1,-27,0,1515.0,3.5,2,33.5,0,.167,19.0,1.000,0.0,14.7,3,DET,8,0,1
128,2,3,0,69.4,20061111,0,0,1,-24.3,1,0,2,.000,0,Nazr Mohammed,0,0,0,0.0,1,0.0,0,-17,0,720.0,0.0,0,11.8,0,0,5.0,.000,0.0,11.3,0,DET,0,0,0
128,3,0,.455,24.5,20061111,0,.455,7,-8.5,1,11,4,.446,1,Jason Maxiell,.273,0,79,22.5,0,0.0,0,-4,1,1671.0,0.0,6,5.1,0,.000,15.1,.333,2.0,27.6,5,DET,11,0,0
125,0,1,.200,28.6,20061111,.000,.200,5,-1.5,3,5,2,.200,0,Carlos Delfino,.000,6,74,8.2,0,36.5,3,-5,1,1523.0,0.0,2,16.7,0,.600,11.8,0,2.1,13.0,1,DET,2,0,0
121,2,3,.385,12.6,20061111,.400,.462,1,1.1,1,13,2,.504,2,Lindsey Hunter,.154,2,98,0.0,0,16.6,5,-9,2,1485.0,0.0,0,5.7,2,.385,2.4,1.000,4.4,30.2,5,DET,14,0,0
122,2,1,.250,0.0,20061111,0,.250,8,-1.2,6,4,0,.410,2,Antonio McDyess,.500,1,115,12.7,0,9.7,0,-12,0,984.0,0.0,2,51.6,0,.000,29.3,1.000,0.0,14.0,1,DET,4,0,0
108,5,1,.400,7.6,20061111,0,.400,3,-7.4,2,10,1,.328,0,Ronald Dupree,.500,0,63,8.7,0,0.0,0,-1,2,720.0,0.0,1,23.5,0,.000,15.0,.000,9.1,51.8,4,DET,8,0,0
118,0,2,1.000,0.0,20061111,0,1.000,3,6.3,2,2,0,1.000,0,Amir Johnson,.000,0,201,10.9,0,0.0,0,0,0,577.0,9.1,1,29.4,0,.000,18.7,0,0.0,9.8,2,DET,4,0,1
0,0,0,0,0,20061111,0,0,0,0,0,0,0,0,0,Dale Davis,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,DET,0,0,0
83,2,4,.333,0.0,20061111,.500,.389,10,-0.9,8,9,0,.405,1,Troy Murphy,.222,3,114,8.9,1,11.7,2,+19,2,1913.0,0.0,2,26.2,1,.222,18.8,.500,3.4,14.7,3,GSW,8,0,0
94,2,1,.462,0.0,20061111,.400,.538,9,4.4,6,13,0,.576,2,Jason Richardson,.154,4,141,13.4,1,18.0,5,+29,0,1894.0,0.0,3,19.8,2,.385,17.1,1.000,0.0,20.9,6,GSW,16,0,0
92,4,2,.750,9.3,20061111,0,.750,8,1.5,6,8,1,.666,1,Andris Biedriņš,.500,2,127,9.1,1,9.2,0,+32,0,1862.0,2.5,2,20.2,0,.000,15.5,.250,0.0,16.5,6,GSW,13,0,1
98,2,2,.833,42.1,20061111,1.000,.917,2,-1.9,1,6,5,.872,1,Monta Ellis,.333,4,100,4.8,1,18.8,1,+28,0,1762.0,2.7,1,3.6,1,.167,4.1,.500,0.0,19.2,5,GSW,12,0,1
79,5,3,.571,5.8,20061111,.500,.607,1,17.7,1,14,1,.617,3,Baron Davis,.357,9,139,0.0,1,51.6,2,+29,5,1704.0,0.0,0,3.7,1,.143,2.1,.600,9.6,28.8,8,GSW,20,0,0
81,2,2,.500,18.4,20061111,.500,.563,6,9.3,5,8,2,.507,0,Mike Dunleavy,.250,8,116,5.1,0,38.4,2,+11,3,1664.0,0.0,1,18.8,1,.250,13.0,.000,5.9,18.6,4,GSW,9,0,0
97,4,1,.667,11.4,20061111,.667,.833,2,8.4,1,6,1,.838,3,Mickaël Piétrus,.667,1,147,6.9,0,7.0,3,+6,0,1219.0,3.9,1,5.1,2,.500,5.9,.750,0.0,20.5,4,GSW,13,0,1
99,2,0,1.000,0.0,20061111,1.000,1.333,1,19.7,1,3,0,1.160,1,Matt Barnes,.667,1,210,0.0,0,12.7,2,+1,0,727.0,0.0,0,8.6,2,.667,5.0,.500,0.0,15.2,3,GSW,9,0,0
93,0,0,.500,25.0,20061111,.333,.583,0,-6.5,0,6,2,.583,0,Anthony Roberson,.000,0,77,0.0,0,0.0,3,+1,1,720.0,0.0,0,0.0,1,.500,0.0,0,4.5,31.7,3,GSW,7,0,0
80,0,2,.000,33.3,20061111,0,.000,3,-19.9,3,2,1,.000,0,Patrick O'Bryant,.000,0,0,0.0,0,0.0,0,+2,0,528.0,8.9,0,35.6,0,.000,20.5,0,0.0,16.2,0,GSW,0,0,1
101,2,1,1.000,34.7,20061111,1.000,1.500,0,4.2,0,1,1,1.064,1,Dajuan Wagner,2.000,1,115,0.0,0,19.7,1,+2,0,407.0,0.0,0,0.0,1,1.000,0.0,.500,0.0,20.2,1,GSW,4,0,0
0,0,0,0,0,20061111,0,0,0,0,0,0,0,0,0,Adonal Foyle,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,GSW,0,0,0
0,0,0,0,0,20061111,0,0,0,0,0,0,0,0,0,Will Blalock,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,DET,0,1,0
0,0,0,0,0,20061111,0,0,0,0,0,0,0,0,0,Richard Hamilton,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,DET,0,1,0
0,0,0,0,0,20061111,0,0,0,0,0,0,0,0,0,Žarko Čabarkapa,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,GSW,0,1,0
0,0,0,0,0,20061111,0,0,0,0,0,0,0,0,0,Ike Diogu,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,GSW,0,1,0
0,0,0,0,0,20061111,0,0,0,0,0,0,0,0,0,Keith McLeod,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,GSW,0,1,0
