date,away_abbr,away_pts,home_abbr,home_pts,playoff_game
20061031,CHI,108,MIA,66,0
20061031,PHO,106,LAL,114,0
20061101,IND,106,CHA,99,0
20061101,CHI,94,ORL,109,0
20061101,ATL,75,PHI,88,0
20061101,NOK,91,BOS,87,0
20061101,TOR,92,NJN,102,0
20061101,WAS,94,CLE,97,0
20061101,MIL,105,DET,97,0
20061101,NYK,118,MEM,117,0
20061101,SAC,83,MIN,92,0
20061101,HOU,97,UTA,107,0
20061101,POR,110,SEA,106,0
20061101,LAL,110,GSW,98,0
20061101,LAC,104,PHO,112,0
20061102,SAS,97,DAL,91,0
20061102,DEN,95,LAC,96,0
20061103,NOK,100,IND,91,0
20061103,PHI,105,ORL,103,0
20061103,MIL,92,TOR,109,0
20061103,NYK,92,ATL,102,0
20061103,DET,101,BOS,88,0
20061103,NJN,85,MIA,91,0
20061103,CHA,83,MEM,96,0
20061103,CLE,88,SAS,81,0
20061103,SAC,89,CHI,88,0
20061103,MIN,112,DEN,109,0
20061103,UTA,108,PHO,104,0
20061103,POR,89,GSW,102,0
20061103,SEA,112,LAL,118,0
20061104,CLE,88,CHA,92,0
20061104,BOS,117,WAS,124,0
20061104,MEM,86,DET,95,0
20061104,IND,109,NYK,95,0
20061104,DAL,76,HOU,107,0
20061104,SAC,91,MIL,104,0
20061104,GSW,82,UTA,106,0
20061104,MIN,86,POR,88,0
20061104,PHO,108,LAC,114,0
20061105,SAS,103,TOR,94,0
20061105,ORL,82,ATL,95,0
20061105,MIA,98,PHI,107,0
20061105,HOU,90,NOK,96,0
20061105,LAL,101,SEA,117,0
20061106,WAS,103,ORL,106,0
20061106,SAS,105,NYK,93,0
20061106,MIL,85,CHI,110,0
20061106,GSW,107,DAL,104,0
20061106,DET,101,UTA,103,0
20061106,MIN,81,SAC,93,0
20061106,POR,89,LAC,102,0
20061107,ATL,104,CLE,95,0
20061107,PHI,86,IND,97,0
20061107,SEA,87,MIA,90,0
20061107,HOU,86,MEM,80,0
20061107,GSW,93,NOK,97,0
20061107,MIN,88,LAL,95,0
20061108,SEA,87,ORL,88,0
20061108,PHI,104,TOR,106,0
20061108,IND,91,WAS,117,0
20061108,CHA,108,BOS,110,0
20061108,UTA,89,NJN,96,0
20061108,HOU,97,MIL,93,0
20061108,PHO,106,SAS,111,0
20061108,NYK,109,DEN,107,0
20061108,LAL,90,POR,101,0
20061108,DAL,85,LAC,103,0
20061108,DET,86,SAC,99,0
20061109,CHI,94,CLE,113,0
20061109,NOK,116,GSW,121,0
20061109,DAL,119,PHO,112,0
20061110,SEA,99,CHA,85,0
20061110,ORL,83,IND,93,0
20061110,DEN,108,PHI,101,0
20061110,ATL,111,TOR,102,0
20061110,MIL,111,WAS,116,0
20061110,UTA,107,BOS,100,0
20061110,MIA,113,NJN,106,0
20061110,NYK,94,HOU,103,0
20061110,NOK,91,POR,92,0
20061110,DET,97,LAL,83,0
20061111,SEA,113,ATL,112,0
20061111,BOS,93,CLE,94,0
20061111,ORL,109,MIN,98,0
20061111,NYK,92,SAS,100,0
20061111,IND,80,CHI,89,0
20061111,UTA,113,MIL,111,0
20061111,MEM,87,PHO,96,0
20061111,DET,79,GSW,111,0
20061112,NOK,76,LAC,92,0
20061112,DEN,108,CHA,101,0
20061112,NJN,105,WAS,93,0
20061112,HOU,94,MIA,72,0
20061112,DAL,103,POR,96,0
20061112,TOR,92,SAC,107,0
20061112,MEM,81,LAL,91,0
20061113,ORL,92,BOS,89,0
20061113,SEA,119,NJN,113,0
20061113,CLE,102,NYK,96,0
20061114,MIL,103,ATL,101,0
20061114,DEN,112,MIA,105,0
20061114,POR,89,MIN,101,0
20061114,CHA,85,NOK,94,0
20061114,CHI,99,DAL,111,0
20061114,SAS,92,HOU,84,0
20061114,LAC,90,UTA,112,0
20061114,TOR,99,GSW,110,0
20061115,POR,87,CLE,100,0
20061115,DEN,99,ORL,108,0
20061115,IND,88,BOS,114,0
20061115,NOK,100,DET,99,0
20061115,MIL,87,NJN,100,0
20061115,WAS,82,NYK,102,0
20061115,CHA,95,SAS,92,0
20061115,MEM,111,SAC,115,0
20061115,PHI,96,SEA,90,0
20061116,CHI,100,HOU,101,0
20061116,SAC,105,GSW,117,0
20061117,NJN,100,IND,91,0
20061117,POR,90,BOS,118,0
20061117,MIN,76,CLE,92,0
20061117,NYK,100,MIA,76,0
20061117,WAS,91,DET,100,0
20061117,DAL,115,MEM,103,0
20061117,CHI,83,SAS,100,0
20061117,TOR,100,LAL,107,0
20061117,PHI,94,PHO,106,0
20061117,UTA,118,SEA,109,0
20061118,MIA,93,ATL,88,0
20061118,CHA,83,ORL,97,0
20061118,CLE,99,WAS,111,0
20061118,HOU,92,DET,104,0
20061118,POR,86,NJN,68,0
20061118,BOS,122,NYK,118,0
20061118,NOK,99,MIN,96,0
20061118,MEM,84,DAL,89,0
20061118,IND,102,MIL,100,0
20061118,TOR,109,DEN,117,0
20061118,PHO,117,UTA,120,0
20061118,SEA,95,GSW,107,0
20061118,PHI,97,LAC,103,0
20061119,CHI,72,LAL,82,0
20061119,SAS,108,SAC,99,0
20061120,DAL,93,CHA,85,0
20061120,HOU,97,NYK,90,0
20061120,ORL,86,MEM,95,0
20061120,TOR,96,UTA,101,0
20061120,SAS,107,POR,98,0
20061120,NJN,87,SEA,99,0
20061120,PHO,113,GSW,110,0
20061121,MEM,94,CLE,97,0
20061121,MIL,88,IND,93,0
20061121,DET,97,PHI,87,0
20061121,MIA,86,NOK,101,0
20061121,WAS,80,DAL,107,0
20061121,CHI,109,DEN,113,0
20061121,LAC,101,LAL,105,0
20061122,BOS,83,CHA,92,0
20061122,IND,91,ORL,96,0
20061122,CLE,87,TOR,95,0
20061122,ATL,98,DET,103,0
20061122,MIA,86,SAS,106,0
20061122,PHI,94,MIL,98,0
20061122,NYK,89,MIN,107,0
20061122,WAS,82,HOU,86,0
20061122,NOK,83,PHO,92,0
20061122,NJN,97,POR,100,0
20061122,UTA,110,SAC,101,0
20061122,DEN,115,GSW,112,0
20061122,SEA,95,LAC,85,0
20061124,TOR,93,ATL,97,0
20061124,NYK,101,BOS,77,0
20061124,ORL,107,MIA,104,0
20061124,CHI,108,PHI,123,0
20061124,CHA,95,DET,104,0
20061124,CLE,87,IND,97,0
20061124,WAS,80,MEM,95,0
20061124,MIN,86,NOK,79,0
20061124,DAL,95,SAS,92,0
20061124,GSW,129,DEN,140,0
20061124,LAL,108,UTA,114,0
20061124,NJN,93,PHO,99,0
20061124,SAC,109,SEA,100,0
20061125,MIA,102,CHA,93,0
20061125,ATL,79,ORL,98,0
20061125,DET,115,WAS,111,0
20061125,PHI,95,CLE,108,0
20061125,CHI,106,NYK,95,0
20061125,LAC,96,MIN,104,0
20061125,NOK,73,DAL,85,0
20061125,MEM,76,HOU,85,0
20061125,BOS,111,MIL,98,0
20061125,POR,85,SAC,105,0
20061125,UTA,78,GSW,91,0
20061126,IND,83,TOR,92,0
20061126,LAC,88,DEN,103,0
20061126,PHO,119,POR,101,0
20061126,SAS,98,SEA,78,0
20061126,NJN,93,LAL,99,0
20061127,PHI,91,MIA,103,0
20061127,MIN,87,DAL,93,0
20061127,ORL,88,UTA,75,0
20061127,SAS,102,GSW,111,0
20061128,ATL,95,WAS,96,0
20061128,CHA,96,NJN,92,0
20061128,TOR,94,NOK,77,0
20061128,NYK,85,CHI,102,0
20061128,MIN,75,HOU,82,0
20061128,MEM,108,DEN,96,0
20061128,IND,105,POR,97,0
20061128,LAC,80,SAC,93,0
20061128,MIL,109,LAL,105,0
20061129,CHA,90,ATL,99,0
20061129,NYK,101,CLE,98,0
20061129,NJN,106,BOS,103,0
20061129,TOR,98,DAL,117,0
20061129,HOU,91,PHO,102,0
20061129,SAS,75,UTA,83,0
20061129,ORL,94,SEA,84,0
20061129,IND,108,GSW,106,0
20061129,MEM,90,LAC,105,0
20061130,DET,87,MIA,85,0
20061130,UTA,102,LAL,132,0
20061201,BOS,102,TOR,106,0
20061201,CHA,109,WAS,121,0
20061201,CLE,106,ATL,95,0
20061201,NYK,100,DET,108,0
20061201,DEN,106,MIN,92,0
20061201,CHI,111,NOK,108,0
20061201,SAC,90,DAL,109,0
20061201,MIL,116,PHO,122,0
20061201,ORL,91,POR,89,0
20061201,IND,103,SEA,105,0
20061202,PHI,107,NJN,112,0
20061202,MIA,98,MEM,97,0
20061202,TOR,103,NYK,100,0
20061202,SAC,98,SAS,100,0
20061202,WAS,94,CHI,112,0
20061202,CLE,63,HOU,81,0
20061202,IND,101,DEN,121,0
20061202,SEA,107,UTA,109,0
20061202,MIL,115,GSW,110,0
20061202,LAL,97,LAC,88,0
20061203,DET,89,CHA,97,0
20061203,MIN,95,PHI,84,0
20061203,ATL,107,POR,96,0
20061203,ORL,91,LAC,116,0
20061204,DAL,97,WAS,106,0
20061204,MEM,90,NYK,98,0
20061204,GSW,89,SAS,129,0
20061204,BOS,82,CHI,100,0
20061204,MIL,88,UTA,101,0
20061204,ORL,92,SAC,89,0
20061204,IND,87,LAL,101,0
20061205,POR,88,DET,85,0
20061205,DAL,92,NJN,75,0
20061205,GSW,90,HOU,118,0
20061205,SAC,102,PHO,127,0
20061205,ATL,87,SEA,102,0
20061205,MIA,97,LAC,101,0
20061206,SAS,96,CHA,76,0
20061206,TOR,91,CLE,95,0
20061206,ORL,80,IND,94,0
20061206,MEM,98,BOS,96,0
20061206,WAS,113,NYK,102,0
20061206,POR,94,MIL,102,0
20061206,HOU,84,MIN,90,0
20061206,PHI,94,CHI,121,0
20061206,ATL,98,DEN,96,0
20061206,NOK,105,LAL,89,0
20061207,PHO,161,NJN,157,0
20061207,DET,92,DAL,82,0
20061207,MIA,93,SAC,91,0
20061208,HOU,92,CHA,62,0
20061208,POR,95,IND,108,0
20061208,DET,87,ORL,83,0
20061208,PHO,116,BOS,111,0
20061208,UTA,103,MIN,110,0
20061208,WAS,113,PHI,98,0
20061208,LAC,82,SAS,111,0
20061208,TOR,90,CHI,93,0
20061208,MEM,94,MIL,100,0
20061208,MIA,107,DEN,123,0
20061208,ATL,95,LAL,106,0
20061208,NOK,74,SEA,94,0
20061209,PHI,84,ORL,86,0
20061209,HOU,114,WAS,109,0
20061209,IND,75,CLE,107,0
20061209,BOS,92,NJN,90,0
20061209,MIL,107,NYK,115,0
20061209,LAC,89,MEM,82,0
20061209,MIN,91,CHI,81,0
20061209,DEN,90,DAL,105,0
20061209,NOK,80,GSW,101,0
20061210,POR,93,TOR,83,0
20061210,PHO,114,CHA,84,0
20061210,ATL,92,SAC,117,0
20061210,GSW,115,SEA,117,0
20061210,SAS,99,LAL,106,0
20061211,PHO,103,ORL,89,0
20061211,POR,81,PHI,79,0
20061211,TOR,77,MIA,99,0
20061211,MEM,92,NJN,105,0
20061211,BOS,97,NYK,90,0
20061211,CLE,89,NOK,95,0
20061211,IND,91,CHI,106,0
20061211,DAL,79,UTA,101,0
20061211,SAS,103,LAC,81,0
20061212,DEN,100,ATL,87,0
20061212,SEA,93,MIL,94,0
20061212,LAL,102,HOU,94,0
20061212,SAC,113,GSW,126,0
20061213,CHA,101,CLE,104,0
20061213,DET,90,IND,101,0
20061213,PHO,99,MIA,89,0
20061213,TOR,91,ORL,84,0
20061213,BOS,101,PHI,81,0
20061213,DEN,91,WAS,120,0
20061213,MIL,95,NJN,108,0
20061213,ATL,82,NYK,94,0
20061213,POR,85,MEM,79,0
20061213,MIN,82,SAS,95,0
20061213,SEA,84,CHI,99,0
20061213,LAL,101,DAL,110,0
20061213,UTA,105,LAC,86,0
20061214,ORL,89,CHA,99,0
20061214,SAS,103,NOK,77,0
20061214,HOU,107,GSW,109,0
20061215,NYK,96,IND,112,0
20061215,NJN,78,TOR,90,0
20061215,MIA,95,WAS,106,0
20061215,DEN,114,BOS,119,0
20061215,SEA,84,CLE,106,0
20061215,PHI,79,DAL,93,0
20061215,ATL,97,MEM,88,0
20061215,MIL,111,CHI,117,0
20061215,GSW,101,PHO,105,0
20061215,SAC,98,UTA,97,0
20061215,LAC,99,POR,109,0
20061215,HOU,101,LAL,112,0
20061216,CHI,106,ATL,104,0
20061216,BOS,106,CHA,100,0
20061216,CLE,74,ORL,81,0
20061216,MEM,90,MIA,98,0
20061216,DEN,123,NYK,100,0
20061216,DET,90,NJN,82,0
20061216,DAL,90,NOK,79,0
20061216,PHI,98,SAS,103,0
20061216,MIN,104,MIL,108,0
20061216,PHO,105,SAC,98,0
20061217,GSW,115,TOR,120,0
20061217,UTA,104,IND,94,0
20061217,HOU,108,LAC,103,0
20061217,SEA,93,DET,97,0
20061217,WAS,147,LAL,141,0
20061218,NOK,99,MIA,101,0
20061218,GSW,97,NJN,105,0
20061218,UTA,96,NYK,97,0
20061218,SEA,126,MEM,134,0
20061218,WAS,108,DEN,117,0
20061218,DAL,109,SAC,91,0
20061219,LAL,89,CHI,94,0
20061219,TOR,98,PHO,115,0
20061220,UTA,112,ATL,106,0
20061220,NOK,83,ORL,86,0
20061220,IND,101,PHI,93,0
20061220,GSW,96,BOS,95,0
20061220,CHA,109,NYK,111,0
20061220,MIA,95,MIL,121,0
20061220,LAL,111,MIN,94,0
20061220,CLE,111,NJN,113,0
20061220,MEM,98,SAS,105,0
20061220,HOU,87,POR,89,0
20061220,TOR,98,LAC,96,0
20061220,DAL,103,SEA,95,0
20061221,DET,87,CLE,71,0
20061221,WAS,126,SAC,119,0
20061222,UTA,89,CHA,101,0
20061222,GSW,117,ORL,108,0
20061222,IND,100,ATL,90,0
20061222,LAL,99,NJN,95,0
20061222,CHI,92,NYK,103,0
20061222,PHI,98,BOS,83,0
20061222,MIL,113,MIN,107,0
20061222,MEM,97,NOK,100,0
20061222,HOU,97,SAS,78,0
20061222,LAC,83,DAL,115,0
20061222,SAC,101,DEN,96,0
20061222,TOR,101,POR,100,0
20061222,WAS,144,PHO,139,0
20061223,MIN,78,IND,71,0
20061223,ORL,83,CLE,86,0
20061223,ATL,81,DET,108,0
20061223,GSW,92,MIA,105,0
20061223,NYK,77,PHI,98,0
20061223,UTA,100,MEM,97,0
20061223,SAS,112,NOK,77,0
20061223,CHA,76,CHI,115,0
20061223,LAC,98,HOU,93,0
20061223,NJN,104,MIL,115,0
20061223,TOR,97,SEA,110,0
20061225,LAL,85,MIA,101,0
20061226,HOU,76,IND,81,0
20061226,MEM,101,WAS,116,0
20061226,NJN,91,DET,92,0
20061226,CHI,98,MIN,100,0
20061226,MIL,114,SAS,107,0
20061226,CHA,84,DAL,97,0
20061226,BOS,105,DEN,116,0
20061226,POR,87,PHO,110,0
20061226,LAC,92,UTA,102,0
20061226,NOK,94,SEA,102,0
20061226,PHI,97,GSW,116,0
20061227,CLE,89,ATL,76,0
20061227,WAS,114,CHA,107,0
20061227,LAL,106,ORL,93,0
20061227,MIN,97,TOR,100,0
20061227,HOU,96,NJN,71,0
20061227,DET,145,NYK,151,0
20061227,MIL,112,MEM,96,0
20061227,MIA,103,CHI,109,0
20061227,NOK,85,POR,100,0
20061227,PHI,76,SAC,101,0
20061227,BOS,77,LAC,100,0
20061228,PHO,99,DAL,101,0
20061228,UTA,83,SAS,106,0
20061228,SEA,98,DEN,112,0
20061229,LAL,124,CHA,133,0
20061229,CHI,107,TOR,97,0
20061229,ORL,111,WAS,112,0
20061229,MIL,99,CLE,109,0
20061229,NJN,91,MIA,81,0
20061229,IND,93,DET,92,0
20061229,SEA,82,MIN,101,0
20061229,DEN,89,NOK,99,0
20061229,ATL,68,HOU,94,0
20061229,NYK,86,PHO,108,0
20061229,PHI,98,POR,95,0
