player_name,sp,ts_pct,efg_pct,threepar,ftr,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,ortg,drtg,team_abbr,starter,inactive,date,fg,fga,fg_pct,threep,threepa,threep_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,pm
Tre Jones,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SAS,0,1,20210519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Trey Lyles,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SAS,0,1,20210519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Quinndary Weatherspoon,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SAS,0,1,20210519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Derrick White,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SAS,0,1,20210519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brandon Clarke,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MEM,0,1,20210519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tim Frazier,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MEM,0,1,20210519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
John Konchar,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MEM,0,1,20210519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sean McDermott,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MEM,0,1,20210519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jontay Porter,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MEM,0,1,20210519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Killian Tillie,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MEM,0,1,20210519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Justise Winslow,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MEM,0,1,20210519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
