threepar,blk,ast,threepa,ft_pct,drb_pct,pts,date,player_name,threep,efg_pct,ast_pct,ft,drtg,fga,stl,tov_pct,stl_pct,fg_pct,inactive,fta,orb,sp,threep_pct,orb_pct,team_abbr,fg,tov,ts_pct,pf,starter,ftr,trb,ortg,drb,blk_pct,trb_pct,pm,usg_pct
.345,0,6,10,1.000,11.0,35,20210521,Ja Morant,5,.569,29.2,2,105,29,4,14.3,4.4,.483,0,2,2,2745.0,.500,4.4,MEM,14,5,.586,2,1,.069,6,112,4,0.0,7.3,-1,33.0
.182,0,3,4,0,2.8,14,20210521,Dillon Brooks,0,.318,11.1,0,112,22,2,4.3,2.2,.318,0,0,1,2704.0,.000,2.2,MEM,7,1,.318,5,1,.000,2,78,1,0.0,2.5,-1,22.1
.143,2,6,1,1.000,25.9,9,20210521,Kyle Anderson,0,.286,21.9,5,105,7,1,0.0,1.3,.286,0,5,2,2341.0,.000,5.1,MEM,2,0,.489,1,1,.714,10,142,8,4.5,14.3,+11,10.2
.167,0,3,1,.500,29.6,9,20210521,Jonas Valančiūnas,1,.583,18.4,2,109,6,0,27.9,0.0,.500,0,4,6,1533.0,1.000,23.5,MEM,3,3,.580,6,1,.667,12,113,6,0.0,26.2,+7,18.2
.667,2,0,4,.875,0.0,10,20210521,Jaren Jackson,1,.250,0.0,7,110,6,0,9.5,0.0,.167,0,8,2,896.0,.250,13.4,MEM,1,1,.525,4,1,1.333,2,117,0,11.8,7.5,+1,30.5
.556,0,2,5,1.000,17.2,10,20210521,Desmond Bane,1,.389,10.5,3,113,9,0,8.8,0.0,.333,0,3,0,1760.0,.200,0.0,MEM,3,1,.484,2,0,.333,4,105,4,0.0,7.6,-13,16.7
.625,1,1,5,0,20.0,12,20210521,Grayson Allen,4,.750,6.6,0,93,8,4,20.0,7.9,.500,0,0,0,1518.0,.800,0.0,MEM,4,2,.750,1,0,.000,4,116,4,3.5,8.8,+17,17.1
.375,1,1,3,.500,21.8,11,20210521,Xavier Tillman,2,.625,7.4,1,95,8,3,0.0,6.5,.500,0,2,3,1388.0,.667,13.0,MEM,4,0,.619,0,0,.250,7,143,4,3.8,16.9,-7,16.6
.667,0,0,2,0,0.0,5,20210521,De'Anthony Melton,1,.833,0.0,0,117,3,0,0.0,0.0,.667,0,0,0,580.0,.500,0.0,MEM,2,0,.833,1,0,.000,0,163,0,0.0,0.0,+5,13.4
0,0,0,0,1.000,0.0,2,20210521,Tyus Jones,0,0,0.0,2,117,0,0,0.0,0.0,0,0,2,0,435.0,0,0.0,MEM,0,0,1.136,1,0,0,0,250,0,0.0,0.0,+6,5.3
0,0,0,0,0,0,0,20210521,John Konchar,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,MEM,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,20210521,Justise Winslow,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,MEM,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,20210521,Brandon Clarke,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,MEM,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,20210521,Tim Frazier,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,MEM,0,0,0,0,0,0,0,0,0,0,0,0,0
