threepar,blk,ast,threepa,ft_pct,drb_pct,pts,date,player_name,threep,efg_pct,ast_pct,ft,drtg,fga,stl,tov_pct,stl_pct,fg_pct,inactive,fta,orb,sp,threep_pct,orb_pct,team_abbr,fg,tov,ts_pct,pf,starter,ftr,trb,ortg,drb,blk_pct,trb_pct,pm,usg_pct
.133,0,10,2,.500,31.4,19,20210520,Domantas Sabonis,1,.567,51.2,2,125,15,2,23.0,2.7,.533,0,4,3,1934.0,.500,8.3,IND,8,5,.567,6,1,.267,11,105,8,0.0,17.8,-18,26.3
.500,0,0,5,0,17.3,10,20210520,Oshae Brissett,2,.500,0.0,0,129,10,1,0.0,1.5,.400,0,0,2,1756.0,.400,6.1,IND,4,0,.500,1,1,.000,6,104,4,0.0,10.7,-17,13.3
.391,0,4,9,1.000,8.7,24,20210520,Malcolm Brogdon,4,.478,25.4,2,130,23,1,4.0,1.5,.391,0,2,0,1737.0,.444,0.0,IND,9,1,.503,3,1,.087,2,99,2,0.0,3.6,-25,33.5
.500,1,3,5,0,10.0,6,20210520,Justin Holiday,0,.300,16.1,0,127,10,1,9.1,1.7,.300,0,0,1,1522.0,.000,3.5,IND,3,1,.300,2,1,.000,3,73,2,2.9,6.2,-14,16.9
.583,0,1,7,0,5.2,13,20210520,Doug McDermott,3,.542,6.4,0,134,12,0,0.0,0.0,.417,0,0,1,1451.0,.429,3.7,IND,5,0,.542,1,1,.000,2,108,1,0.0,4.3,-14,19.3
.571,0,1,8,0,27.9,13,20210520,Kelan Martin,3,.464,7.0,0,131,14,0,6.7,0.0,.357,0,0,0,1358.0,.375,0.0,IND,5,1,.464,2,0,.000,5,83,5,0.0,11.5,-13,25.8
.000,0,5,0,0,11.4,4,20210520,T.J. McConnell,0,.500,29.5,0,124,4,2,33.3,3.9,.500,0,0,0,1331.0,0,0.0,IND,2,2,.500,1,0,.000,2,93,2,0.0,4.7,-23,10.5
.667,1,3,2,0,7.5,0,20210520,Goga Bitadze,0,.000,20.9,0,130,3,0,25.0,0.0,.000,0,0,1,1009.0,.000,5.3,IND,0,1,.000,0,0,.000,2,53,1,4.4,6.2,-13,9.3
.000,1,2,0,1.000,9.4,5,20210520,Edmond Sumner,0,.500,19.0,3,128,2,0,23.1,0.0,.500,0,3,0,808.0,0,0.0,IND,1,1,.753,2,0,1.500,1,131,1,5.5,3.9,-17,12.5
.250,0,0,1,1.000,10.5,7,20210520,Aaron Holiday,1,.625,0.0,2,117,4,2,17.0,7.1,.500,0,2,0,724.0,1.000,0.0,IND,2,1,.717,1,0,.500,1,111,1,0.0,4.3,+3,19.0
