player_name,sp,ts_pct,efg_pct,threepar,ftr,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,ortg,drtg,unnamed: 16,team_abbr,starter,inactive,date,fg,fga,fg_pct,threep,threepa,threep_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,pm
Miles Bridges,2195.0,.681,.688,.313,.125,5.4,19.2,11.7,17.6,1.2,1.9,10.6,20.8,125,129,0.0,CHO,1,0,20210518,10,16,.625,2,5,.400,1,2,.500,2,6,8,4,1,1,2,2,23,-25
Terry Rozier,2089.0,.383,.350,.450,.100,0.0,26.9,12.3,24.8,1.2,2.0,4.6,25.3,87,127,0.0,CHO,1,0,20210518,7,20,.350,0,9,.000,2,2,1.000,0,8,8,6,1,1,1,1,16,-32
P.J. Washington,1830.0,.400,.400,.500,.000,9.6,15.4,12.2,4.1,0.0,4.5,0.0,13.2,99,131,0.0,CHO,1,0,20210518,3,10,.300,2,5,.400,0,0,0,3,4,7,1,0,2,0,1,8,-26
LaMelo Ball,1620.0,.421,.357,.429,.429,3.6,0.0,2.0,19.8,0.0,0.0,19.4,30.8,79,137,0.0,CHO,1,0,20210518,4,14,.286,2,6,.333,4,6,.667,1,0,1,4,0,0,4,1,14,-35
Bismack Biyombo,200.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,137,0.0,CHO,1,0,20210518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-7
Cody Zeller,1693.0,1.022,1.000,.000,.429,0.0,12.4,5.7,10.9,3.1,0.0,19.4,14.8,159,127,0.0,CHO,0,0,20210518,7,7,1.000,0,0,0,3,3,1.000,0,3,3,2,2,0,2,2,17,-20
Devonte' Graham,1212.0,.225,.188,.875,.250,0.0,11.6,5.3,23.4,2.1,0.0,0.0,17.7,70,130,0.0,CHO,0,0,20210518,1,8,.125,1,7,.143,1,2,.500,0,2,2,4,1,0,0,1,4,-3
Malik Monk,1146.0,.650,.650,.500,.000,0.0,6.1,2.8,16.5,0.0,0.0,9.1,23.2,114,136,0.0,CHO,0,0,20210518,5,10,.500,3,5,.600,0,0,0,0,1,1,2,0,0,1,0,13,-12
Jalen McDaniels,945.0,.753,.500,.000,1.500,0.0,7.4,3.4,0.0,5.5,4.4,37.6,13.6,93,120,0.0,CHO,0,0,20210518,1,2,.500,0,0,0,3,3,1.000,0,1,1,0,2,1,2,5,5,-8
Vernon Carey,345.0,0,0,0,0,0.0,20.4,9.3,0.0,0.0,11.9,100.0,14.0,0,124,0.0,CHO,0,0,20210518,3,4,.750,2,3,.667,0,0,0,0,0,0,1,1,0,0,0,8,+6
Caleb Martin,345.0,1.000,1.000,.750,.000,0.0,0.0,0.0,46.5,7.5,0.0,0.0,28.1,176,120,0.0,CHO,0,0,20210518,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,2,0,0,+6
Nate Darling,260.0,1.000,1.000,.000,.000,22.6,54.0,36.9,34.7,0.0,0.0,0.0,9.3,212,125,0.0,CHO,0,0,20210518,1,2,.500,0,0,0,2,3,.667,0,1,1,0,0,0,0,0,4,+7
Grant Riller,260.0,.852,0,0,0,0.0,0.0,0.0,25.8,0.0,0.0,0.0,16.4,193,137,0.0,CHO,0,0,20210518,0,0,0,0,0,0,3,4,.750,0,0,0,1,0,0,0,0,3,+7
Nick Richards,260.0,.602,.500,.000,1.500,0.0,27.0,12.3,0.0,0.0,0.0,0.0,30.9,124,131,0.0,CHO,0,0,20210518,1,1,1.000,0,0,0,0,0,0,1,2,3,1,0,0,0,1,2,+7
Brad Wanamaker,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,CHO,0,0,20210518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oshae Brissett,1981.0,.821,.821,.429,.000,0.0,14.8,8.1,6.7,0.0,0.0,0.0,16.0,167,110,IND,1,0,20210518,10,14,.714,3,6,.500,0,0,0,0,5,5,2,0,0,0,1,23,+27
Domantas Sabonis,1955.0,.467,.467,.133,.000,3.6,60.1,34.4,27.8,1.3,2.7,25.0,23.1,97,98,IND,1,0,20210518,7,15,.467,0,2,.000,0,0,0,1,20,21,9,1,1,5,3,14,+27
Justin Holiday,1551.0,.872,.917,.833,.333,0.0,7.6,4.1,18.4,0.0,0.0,22.5,12.9,141,111,IND,1,0,20210518,4,6,.667,3,5,.600,1,2,.500,0,2,2,5,0,0,2,2,12,+26
Doug McDermott,1547.0,1.017,1.000,.667,.333,9.1,3.8,6.2,8.3,0.0,0.0,16.2,18.0,166,112,IND,1,0,20210518,7,9,.778,4,6,.667,3,3,1.000,2,1,3,2,0,0,2,2,21,+20
Malcolm Brogdon,1280.0,.766,.750,.500,.100,0.0,0.0,0.0,40.4,0.0,0.0,16.1,21.9,147,113,IND,1,0,20210518,6,10,.600,3,5,.600,1,1,1.000,0,0,0,8,0,0,2,2,16,+18
T.J. McConnell,1502.0,.683,.667,.083,.083,9.4,11.7,10.7,13.5,6.9,0.0,13.9,21.7,129,95,IND,0,0,20210518,8,12,.667,0,1,.000,1,1,1.000,2,3,5,3,4,0,2,4,17,+13
Kelan Martin,1222.0,.500,.500,.286,.000,0.0,9.6,5.2,0.0,0.0,4.4,0.0,25.9,106,108,IND,0,0,20210518,6,14,.429,2,4,.500,0,0,0,0,2,2,0,0,1,0,0,14,+13
Goga Bitadze,1122.0,.608,.500,.000,1.000,37.6,21.0,28.5,5.4,2.3,14.3,0.0,23.2,153,93,IND,0,0,20210518,4,8,.500,0,0,0,6,8,.750,6,4,10,1,1,3,0,0,14,-1
Aaron Holiday,976.0,.143,.143,.429,.000,0.0,18.1,9.8,26.8,0.0,0.0,12.5,18.5,70,109,IND,0,0,20210518,1,7,.143,0,3,.000,0,0,0,0,3,3,5,0,0,1,3,2,+4
JaKarr Sampson,446.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,112,IND,0,0,20210518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-6
Edmond Sumner,412.0,.583,.583,.333,.000,0.0,28.5,15.5,0.0,0.0,0.0,14.3,38.3,94,108,IND,0,0,20210518,3,6,.500,1,2,.500,0,0,0,0,2,2,0,0,0,1,1,7,+5
Cassius Stanley,295.0,.500,.500,.250,.000,23.8,0.0,10.8,0.0,8.8,0.0,20.0,38.3,89,92,IND,0,0,20210518,2,4,.500,0,1,.000,0,0,0,1,0,1,0,1,0,1,1,4,-5
Amida Brimah,111.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,111,IND,0,0,20210518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-6
Gordon Hayward,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CHO,0,1,20210518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cody Martin,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CHO,0,1,20210518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jeremy Lamb,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,IND,0,1,20210518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Caris LeVert,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,IND,0,1,20210518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
