season,age,team_abbr,lg,pos,g,gs,mp,fg,fga,fg_pct,threep,threepa,threep_pct,twop,twopa,twop_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,bbref_endpoint,player_name
2011,24.0,NYK,NBA,C,34,14,13.5,1.5,3.3,.464,0.0,0.0,0,1.5,3.3,.464,.464,0.9,1.3,.705,1.2,1.9,3.1,0.4,0.4,0.7,0.9,2.2,4.0,/players/m/mozgoti01.html,Timofey Mozgov
2011,24.0,DEN,NBA,C,11,0,6.0,1.0,1.9,.524,0.0,0.0,0,1.0,1.9,.524,.524,0.5,0.7,.750,0.5,1.1,1.5,0.0,0.1,0.2,0.3,0.7,2.5,/players/m/mozgoti01.html,Timofey Mozgov
2012,25.0,DEN,NBA,C,44,35,15.6,2.3,4.3,.526,0.0,0.0,0,2.3,4.3,.526,.526,0.9,1.3,.684,1.2,2.9,4.1,0.5,0.3,1.0,1.2,2.0,5.4,/players/m/mozgoti01.html,Timofey Mozgov
2013,26.0,DEN,NBA,C,41,1,8.9,1.1,2.1,.506,0.0,0.0,.000,1.1,2.1,.518,.506,0.5,0.6,.769,1.2,1.4,2.6,0.2,0.1,0.4,0.6,1.4,2.6,/players/m/mozgoti01.html,Timofey Mozgov
2014,27.0,DEN,NBA,C,82,30,21.6,3.5,6.6,.523,0.0,0.3,.167,3.4,6.4,.539,.527,2.4,3.2,.754,2.1,4.4,6.4,0.8,0.3,1.2,1.5,2.6,9.4,/players/m/mozgoti01.html,Timofey Mozgov
2015,28.0,DEN,NBA,C,35,35,25.6,3.3,6.6,.504,0.1,0.2,.333,3.3,6.5,.509,.509,1.8,2.5,.733,2.6,5.2,7.8,0.5,0.4,1.2,1.3,3.3,8.5,/players/m/mozgoti01.html,Timofey Mozgov
2015,28.0,CLE,NBA,C,46,45,25.0,4.3,7.3,.590,0.0,0.0,0,4.3,7.3,.590,.590,2.0,2.8,.708,2.4,4.5,6.9,0.8,0.4,1.2,1.5,2.5,10.6,/players/m/mozgoti01.html,Timofey Mozgov
2016,29.0,CLE,NBA,C,76,48,17.4,2.7,4.7,.565,0.0,0.1,.143,2.7,4.6,.574,.567,0.9,1.3,.716,1.4,3.0,4.4,0.4,0.3,0.8,0.9,2.1,6.3,/players/m/mozgoti01.html,Timofey Mozgov
2017,30.0,LAL,NBA,C,54,52,20.4,3.1,6.1,.515,0.0,0.0,.000,3.1,6.1,.517,.515,1.2,1.4,.808,1.9,3.0,4.9,0.8,0.3,0.6,1.3,2.5,7.4,/players/m/mozgoti01.html,Timofey Mozgov
2018,31.0,BRK,NBA,C,31,13,11.6,1.7,3.0,.559,0.1,0.6,.222,1.5,2.4,.640,.581,0.7,1.0,.767,1.0,2.1,3.2,0.4,0.2,0.4,1.1,1.3,4.2,/players/m/mozgoti01.html,Timofey Mozgov
