season,age,team_abbr,lg,pos,g,gs,mp,fg,fga,fg_pct,threep,threepa,threep_pct,twop,twopa,twop_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,bbref_endpoint,player_name
2011,20.0,BOS,NBA,PG,31.0,0.0,5.2,0.7,2.2,0.34299999999999997,0.0,0.2,0.0,0.7,2.0,0.371,0.34299999999999997,0.2,0.4,0.5,0.1,0.4,0.5,0.4,0.3,0.0,0.5,0.6,1.7,/players/b/bradlav01.html,Avery Bradley
2012,21.0,BOS,NBA,PG,64.0,28.0,21.4,3.1,6.3,0.498,0.3,0.8,0.40700000000000003,2.8,5.4,0.511,0.525,1.0,1.2,0.795,0.5,1.3,1.8,1.4,0.7,0.2,1.2,1.7,7.6,/players/b/bradlav01.html,Avery Bradley
2013,22.0,BOS,NBA,PG,50.0,50.0,28.7,3.8,9.6,0.402,0.8,2.5,0.317,3.0,7.0,0.43200000000000005,0.444,0.7,1.0,0.755,0.6,1.6,2.2,2.1,1.3,0.4,1.4,2.6,9.2,/players/b/bradlav01.html,Avery Bradley
2014,23.0,BOS,NBA,SG,60.0,58.0,30.9,6.0,13.8,0.43799999999999994,1.3,3.3,0.395,4.7,10.4,0.451,0.485,1.5,1.9,0.804,0.8,3.0,3.8,1.4,1.1,0.2,1.6,2.4,14.9,/players/b/bradlav01.html,Avery Bradley
2015,24.0,BOS,NBA,SG,77.0,77.0,31.5,5.6,13.1,0.429,1.6,4.6,0.35200000000000004,4.0,8.6,0.47,0.49,1.0,1.3,0.79,0.6,2.5,3.1,1.8,1.1,0.2,1.4,2.3,13.9,/players/b/bradlav01.html,Avery Bradley
2016,25.0,BOS,NBA,SG,76.0,72.0,33.4,6.0,13.4,0.447,1.9,5.4,0.361,4.1,8.1,0.505,0.52,1.3,1.6,0.78,0.6,2.3,2.9,2.1,1.5,0.3,1.4,2.2,15.2,/players/b/bradlav01.html,Avery Bradley
2017,26.0,BOS,NBA,SG,55.0,55.0,33.4,6.5,14.1,0.46299999999999997,2.0,5.0,0.39,4.6,9.1,0.504,0.5329999999999999,1.2,1.7,0.731,1.2,4.9,6.1,2.2,1.2,0.2,1.6,2.6,16.3,/players/b/bradlav01.html,Avery Bradley
2018,27.0,DET,NBA,SG,40.0,40.0,31.7,5.8,14.3,0.409,1.9,4.9,0.381,4.0,9.4,0.423,0.474,1.5,2.0,0.763,0.5,1.9,2.4,2.1,1.2,0.2,2.3,2.0,15.0,/players/b/bradlav01.html,Avery Bradley
2018,27.0,LAC,NBA,SG,6.0,6.0,27.5,4.3,9.2,0.473,0.2,1.5,0.111,4.2,7.7,0.5429999999999999,0.48200000000000004,0.3,0.3,1.0,0.5,3.2,3.7,1.8,0.8,0.2,1.3,2.0,9.2,/players/b/bradlav01.html,Avery Bradley
2019,28.0,LAC,NBA,SG,49.0,49.0,29.9,3.3,8.6,0.38299999999999995,1.2,3.5,0.337,2.1,5.1,0.415,0.452,0.4,0.5,0.8,0.7,2.0,2.7,2.0,0.6,0.3,1.2,2.7,8.2,/players/b/bradlav01.html,Avery Bradley
2019,28.0,MEM,NBA,SG,14.0,14.0,31.6,6.2,13.4,0.46299999999999997,2.0,5.2,0.384,4.2,8.2,0.513,0.537,1.6,1.8,0.92,0.6,2.6,3.1,4.0,1.0,0.0,2.0,2.4,16.1,/players/b/bradlav01.html,Avery Bradley
2020,29.0,LAL,NBA,SG,49.0,44.0,24.2,3.5,7.8,0.444,1.3,3.5,0.364,2.2,4.3,0.51,0.526,0.4,0.5,0.833,0.4,2.0,2.3,1.3,0.9,0.1,1.0,2.2,8.6,/players/b/bradlav01.html,Avery Bradley
2021,30.0,MIA,NBA,SG,10.0,1.0,21.1,3.1,6.6,0.47,1.6,3.8,0.42100000000000004,1.5,2.8,0.536,0.591,0.7,0.9,0.778,0.2,1.6,1.8,1.4,0.7,0.1,0.9,2.6,8.5,/players/b/bradlav01.html,Avery Bradley
2021,30.0,HOU,NBA,SG,17.0,5.0,23.0,1.9,6.2,0.314,1.0,3.7,0.27,0.9,2.5,0.381,0.395,0.3,0.4,0.833,0.4,1.9,2.3,1.9,0.8,0.1,1.1,1.7,5.2,/players/b/bradlav01.html,Avery Bradley
