season,age,team_abbr,lg,pos,g,gs,mp,fg,fga,fg_pct,threep,threepa,threep_pct,twop,twopa,twop_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,bbref_endpoint,player_name
2003,23.0,MIA,NBA,SG,72.0,28.0,21.0,2.9,7.9,0.36200000000000004,0.7,2.4,0.292,2.2,5.6,0.392,0.406,1.1,1.4,0.731,0.4,2.2,2.6,1.3,0.3,0.6,1.1,1.5,7.5,/players/b/butlera01.html,Rasual Butler
2004,24.0,MIA,NBA,SF,45.0,0.0,15.0,2.6,5.6,0.47600000000000003,1.1,2.4,0.46299999999999997,1.5,3.2,0.486,0.5760000000000001,0.4,0.5,0.762,0.1,1.3,1.4,0.5,0.2,0.3,0.6,1.6,6.8,/players/b/butlera01.html,Rasual Butler
2005,25.0,MIA,NBA,SF,65.0,15.0,18.5,2.5,6.3,0.39899999999999997,0.9,2.4,0.373,1.6,3.9,0.414,0.46799999999999997,0.6,0.7,0.7709999999999999,0.2,2.1,2.3,1.0,0.3,0.4,0.6,1.6,6.5,/players/b/butlera01.html,Rasual Butler
2006,26.0,NOK,NBA,SF,79.0,20.0,23.7,3.3,8.0,0.406,1.2,3.1,0.38,2.1,4.9,0.42200000000000004,0.479,1.0,1.4,0.693,0.6,2.3,2.9,0.5,0.4,0.6,0.8,1.8,8.7,/players/b/butlera01.html,Rasual Butler
2007,27.0,NOK,NBA,SF,81.0,38.0,27.4,3.9,9.7,0.39799999999999996,1.7,4.5,0.369,2.2,5.2,0.424,0.484,0.7,1.1,0.644,0.5,2.6,3.2,0.8,0.5,0.7,0.8,1.8,10.1,/players/b/butlera01.html,Rasual Butler
2008,28.0,NOH,NBA,SF,51.0,8.0,17.2,1.8,5.1,0.35,0.9,2.6,0.331,0.9,2.5,0.37,0.435,0.5,0.6,0.8390000000000001,0.3,1.6,2.0,0.7,0.3,0.4,0.2,1.3,4.9,/players/b/butlera01.html,Rasual Butler
2009,29.0,NOH,NBA,SF,82.0,74.0,31.9,4.2,9.8,0.433,1.7,4.4,0.39,2.5,5.4,0.46799999999999997,0.521,1.0,1.3,0.782,0.6,2.7,3.3,0.9,0.6,0.7,0.7,1.9,11.2,/players/b/butlera01.html,Rasual Butler
2010,30.0,LAC,NBA,SF,82.0,64.0,33.0,4.3,10.6,0.409,1.8,5.3,0.336,2.6,5.3,0.48200000000000004,0.493,1.5,1.8,0.841,0.5,2.5,2.9,1.4,0.4,0.8,1.0,1.5,11.9,/players/b/butlera01.html,Rasual Butler
2011,31.0,LAC,NBA,SG,41.0,2.0,18.1,1.8,5.5,0.32299999999999995,1.0,3.1,0.326,0.8,2.4,0.32,0.41600000000000004,0.4,0.7,0.667,0.2,1.6,1.9,0.7,0.2,0.4,0.5,0.8,5.0,/players/b/butlera01.html,Rasual Butler
2011,31.0,CHI,NBA,SG,6.0,0.0,4.3,1.0,1.8,0.545,0.7,1.2,0.5710000000000001,0.3,0.7,0.5,0.727,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.3,0.5,2.7,/players/b/butlera01.html,Rasual Butler
2012,32.0,TOR,NBA,SF,34.0,14.0,13.3,1.2,3.9,0.308,0.6,2.3,0.273,0.6,1.6,0.35700000000000004,0.387,0.2,0.4,0.583,0.2,1.8,1.9,0.6,0.2,0.1,0.4,1.1,3.2,/players/b/butlera01.html,Rasual Butler
2014,34.0,IND,NBA,SG,50.0,2.0,7.6,1.0,2.2,0.46399999999999997,0.5,1.2,0.419,0.5,1.0,0.521,0.5820000000000001,0.2,0.3,0.5710000000000001,0.1,0.7,0.8,0.3,0.1,0.2,0.2,0.6,2.7,/players/b/butlera01.html,Rasual Butler
2015,35.0,WAS,NBA,SF,75.0,1.0,20.1,2.9,6.9,0.42200000000000004,1.2,3.1,0.387,1.7,3.8,0.45,0.51,0.7,0.9,0.7909999999999999,0.4,2.3,2.6,0.8,0.4,0.3,0.6,1.3,7.7,/players/b/butlera01.html,Rasual Butler
2016,36.0,SAS,NBA,SF,46.0,0.0,9.4,1.1,2.3,0.47100000000000003,0.3,1.1,0.306,0.7,1.2,0.618,0.5429999999999999,0.2,0.3,0.688,0.1,1.2,1.2,0.5,0.3,0.5,0.2,0.2,2.7,/players/b/butlera01.html,Rasual Butler
