season,age,team_abbr,lg,pos,g,gs,mp,fg,fga,fg_pct,threep,threepa,threep_pct,twop,twopa,twop_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,bbref_endpoint,player_name
2004,21.0,ATL,NBA,SG,76,37,25.3,1.8,4.1,.447,0.1,0.3,.231,1.8,3.8,.467,.457,0.7,1.2,.602,1.5,3.0,4.5,2.4,0.8,0.5,1.7,2.5,4.5,/players/d/diawbo01.html,Boris Diaw
2005,22.0,ATL,NBA,SG,66,25,18.2,1.9,4.5,.422,0.1,0.8,.180,1.7,3.7,.471,.437,0.9,1.2,.740,0.8,1.8,2.6,2.3,0.6,0.3,1.3,1.9,4.8,/players/d/diawbo01.html,Boris Diaw
2006,23.0,PHO,NBA,PF,81,70,35.5,5.5,10.5,.526,0.1,0.4,.267,5.4,10.2,.536,.531,2.1,2.9,.731,2.0,4.9,6.9,6.2,0.7,1.0,2.3,3.2,13.3,/players/d/diawbo01.html,Boris Diaw
2007,24.0,PHO,NBA,PF,73,59,31.1,4.2,7.8,.538,0.2,0.6,.333,4.0,7.2,.555,.551,1.1,1.6,.683,1.2,3.1,4.3,4.8,0.4,0.5,2.1,2.4,9.7,/players/d/diawbo01.html,Boris Diaw
2008,25.0,PHO,NBA,PF,82,19,28.1,3.8,7.9,.477,0.2,0.5,.317,3.6,7.4,.488,.487,1.2,1.6,.744,1.2,3.4,4.6,3.9,0.7,0.5,1.9,2.0,8.8,/players/d/diawbo01.html,Boris Diaw
2009,26.0,PHO,NBA,PF,22,0,24.5,3.6,6.4,.567,0.2,0.6,.357,3.4,5.8,.591,.585,0.8,1.2,.692,1.1,2.7,3.8,2.1,0.5,0.4,1.7,1.8,8.3,/players/d/diawbo01.html,Boris Diaw
2009,26.0,CHA,NBA,PF,59,59,37.6,6.2,12.6,.495,1.2,2.8,.419,5.1,9.8,.517,.542,1.4,2.1,.686,1.6,4.3,5.9,4.9,0.8,0.7,3.0,2.8,15.1,/players/d/diawbo01.html,Boris Diaw
2010,27.0,CHA,NBA,PF,82,82,35.4,4.5,9.4,.483,0.8,2.5,.320,3.7,6.9,.541,.525,1.4,1.8,.769,1.6,3.6,5.2,4.0,0.7,0.7,2.2,2.7,11.3,/players/d/diawbo01.html,Boris Diaw
2011,28.0,CHA,NBA,PF,82,82,33.9,4.6,9.4,.492,1.0,2.8,.345,3.7,6.7,.553,.543,1.0,1.5,.683,1.3,3.8,5.0,4.1,0.9,0.6,2.0,2.3,11.3,/players/d/diawbo01.html,Boris Diaw
2012,29.0,CHA,NBA,PF,37,28,27.5,3.1,7.6,.410,0.6,2.3,.267,2.5,5.3,.472,.451,0.5,0.7,.630,1.3,4.0,5.3,4.3,0.5,0.5,2.3,1.9,7.4,/players/d/diawbo01.html,Boris Diaw
2012,29.0,SAS,NBA,PF,20,7,20.3,2.0,3.4,.588,0.4,0.7,.615,1.6,2.8,.582,.647,0.3,0.4,.625,1.2,3.1,4.3,2.4,0.7,0.3,1.4,2.7,4.7,/players/d/diawbo01.html,Boris Diaw
2013,30.0,SAS,NBA,PF,75,20,22.8,2.4,4.4,.539,0.4,1.0,.385,2.0,3.4,.587,.584,0.6,0.9,.723,0.9,2.5,3.4,2.4,0.7,0.4,1.1,1.9,5.8,/players/d/diawbo01.html,Boris Diaw
2014,31.0,SAS,NBA,PF,79,24,25.0,3.8,7.3,.521,0.6,1.4,.402,3.3,5.9,.549,.559,0.9,1.2,.739,0.9,3.2,4.1,2.8,0.6,0.4,1.5,1.8,9.1,/players/d/diawbo01.html,Boris Diaw
2015,32.0,SAS,NBA,PF,81,15,24.5,3.6,7.8,.460,0.7,2.1,.320,2.9,5.7,.512,.503,0.9,1.1,.774,1.0,3.3,4.3,2.9,0.4,0.3,1.6,1.8,8.7,/players/d/diawbo01.html,Boris Diaw
2016,33.0,SAS,NBA,PF,76,4,18.2,2.7,5.0,.527,0.3,0.9,.362,2.3,4.1,.564,.560,0.7,1.0,.737,0.8,2.3,3.1,2.3,0.3,0.3,1.3,1.3,6.4,/players/d/diawbo01.html,Boris Diaw
2017,34.0,UTA,NBA,PF,73,33,17.6,2.0,4.5,.446,0.3,1.1,.247,1.7,3.4,.512,.477,0.4,0.5,.743,0.6,1.5,2.2,2.3,0.2,0.1,1.2,1.1,4.6,/players/d/diawbo01.html,Boris Diaw
