season,age,team_abbr,lg,pos,g,gs,mp,fg,fga,fg_pct,threep,threepa,threep_pct,twop,twopa,twop_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,bbref_endpoint,player_name
2001,21.0,MIL,NBA,SG,6.0,0.0,5.8,0.8,3.2,0.263,0.0,0.5,0.0,0.8,2.7,0.313,0.263,0.5,1.0,0.5,0.5,0.2,0.7,0.2,0.2,0.0,0.2,0.3,2.2,/players/r/reddmi01.html,Michael Redd
2002,22.0,MIL,NBA,SG,67.0,8.0,21.1,4.4,9.1,0.483,1.3,3.0,0.444,3.1,6.1,0.501,0.555,1.4,1.7,0.7909999999999999,1.1,2.2,3.3,1.4,0.6,0.1,0.9,1.4,11.4,/players/r/reddmi01.html,Michael Redd
2003,23.0,MIL,NBA,SG,82.0,14.0,28.2,5.5,11.8,0.469,2.2,5.1,0.43799999999999994,3.3,6.8,0.49200000000000005,0.562,1.8,2.3,0.805,1.2,3.3,4.5,1.4,1.2,0.2,0.9,1.7,15.1,/players/r/reddmi01.html,Michael Redd
2004,24.0,MIL,NBA,SG,82.0,82.0,36.8,7.7,17.5,0.44,1.5,4.4,0.35,6.2,13.1,0.47,0.484,4.7,5.4,0.868,1.4,3.5,5.0,2.3,1.0,0.1,1.4,1.9,21.7,/players/r/reddmi01.html,Michael Redd
2005,25.0,MIL,NBA,SG,75.0,75.0,38.0,8.3,18.9,0.441,1.4,3.9,0.355,6.9,15.0,0.46299999999999997,0.47700000000000004,4.9,5.8,0.8540000000000001,1.0,3.2,4.2,2.3,0.8,0.1,1.8,2.0,23.0,/players/r/reddmi01.html,Michael Redd
2006,26.0,MIL,NBA,SG,80.0,80.0,39.1,8.5,19.0,0.45,2.0,5.2,0.395,6.5,13.8,0.47100000000000003,0.504,6.3,7.1,0.877,1.0,3.3,4.3,2.9,1.2,0.1,2.1,2.0,25.4,/players/r/reddmi01.html,Michael Redd
2007,27.0,MIL,NBA,SF,53.0,53.0,38.4,9.0,19.3,0.465,2.2,5.8,0.382,6.8,13.6,0.501,0.522,6.5,7.8,0.8290000000000001,0.8,2.9,3.7,2.3,1.2,0.2,2.3,1.5,26.7,/players/r/reddmi01.html,Michael Redd
2008,28.0,MIL,NBA,SG,72.0,71.0,37.5,7.6,17.3,0.442,1.8,5.0,0.36200000000000004,5.8,12.3,0.475,0.495,5.6,6.8,0.82,1.2,3.1,4.3,3.4,0.9,0.2,2.5,1.7,22.7,/players/r/reddmi01.html,Michael Redd
2009,29.0,MIL,NBA,SG,33.0,32.0,36.5,7.5,16.6,0.455,2.1,5.8,0.366,5.4,10.8,0.503,0.519,4.0,4.9,0.8140000000000001,0.7,2.5,3.2,2.7,1.1,0.1,1.6,1.4,21.2,/players/r/reddmi01.html,Michael Redd
2010,30.0,MIL,NBA,SG,18.0,12.0,27.3,4.2,11.8,0.35200000000000004,1.0,3.3,0.3,3.2,8.5,0.373,0.39399999999999996,2.6,3.7,0.7120000000000001,0.6,2.4,3.0,2.2,1.1,0.1,0.8,1.3,11.9,/players/r/reddmi01.html,Michael Redd
2011,31.0,MIL,NBA,SG,10.0,0.0,13.4,1.8,4.5,0.4,0.4,1.7,0.235,1.4,2.8,0.5,0.444,0.4,0.4,1.0,0.0,0.8,0.8,1.2,0.2,0.1,0.4,0.4,4.4,/players/r/reddmi01.html,Michael Redd
2012,32.0,PHO,NBA,SG,51.0,2.0,15.1,2.8,7.1,0.4,0.8,2.6,0.318,2.0,4.5,0.447,0.45799999999999996,1.7,2.2,0.7929999999999999,0.3,1.2,1.5,0.6,0.3,0.0,0.7,0.6,8.2,/players/r/reddmi01.html,Michael Redd
