datetime,spread,decimal_odds,vegas_odds,sportsbook,team_abbr,home_abbr,away_abbr,bet_type_id
2014-11-26 18:22:39-05:00,0,2.73,173,Pinnacle,UTA,OKC,UTA,1
2014-11-26 18:22:39-05:00,0,1.5181347150259068,-193,Pinnacle,OKC,OKC,UTA,1
2014-11-26 18:24:34-05:00,0,2.7,170,Intertops,UTA,OKC,UTA,1
2014-11-26 18:24:34-05:00,0,1.5,-200,Intertops,OKC,OKC,UTA,1
2014-11-26 17:26:49-05:00,0,2.75,175,Sports Interaction,UTA,OKC,UTA,1
2014-11-26 17:26:49-05:00,0,1.4761904761904763,-210,Sports Interaction,OKC,OKC,UTA,1
2014-11-26 20:09:46-05:00,0,2.06,106,5Dimes,MIN,MIN,MIL,1
2014-11-26 20:09:46-05:00,0,1.8620689655172413,-116,5Dimes,MIL,MIN,MIL,1
2014-11-26 19:54:37-05:00,0,2.0,100,Bet365,MIN,MIN,MIL,1
2014-11-26 19:54:37-05:00,0,1.8333333333333333,-120,Bet365,MIL,MIN,MIL,1
2014-11-26 20:04:22-05:00,0,1.9523809523809523,-105,Pinnacle,MIN,MIN,MIL,1
2014-11-26 20:04:22-05:00,0,1.9523809523809523,-105,Pinnacle,MIL,MIN,MIL,1
2014-11-26 19:54:17-05:00,0,2.0,100,Intertops,MIN,MIN,MIL,1
2014-11-26 19:54:17-05:00,0,1.8333333333333333,-120,Intertops,MIL,MIN,MIL,1
2014-11-26 17:46:51-05:00,0,2.05,105,Sports Interaction,MIN,MIN,MIL,1
2014-11-26 17:46:51-05:00,0,1.8,-125,Sports Interaction,MIL,MIN,MIL,1
2014-11-26 19:57:55-05:00,0,2.65,165,5Dimes,SAC,HOU,SAC,1
2014-11-26 19:57:55-05:00,0,1.5714285714285714,-175,5Dimes,HOU,HOU,SAC,1
2014-11-26 19:57:51-05:00,0,2.67,167,Bet365,SAC,HOU,SAC,1
2014-11-26 19:57:51-05:00,0,1.5208333333333333,-192,Bet365,HOU,HOU,SAC,1
2014-11-26 17:50:04-05:00,0,2.65,165,Bodog Sportsbook,SAC,HOU,SAC,1
2014-11-26 17:50:04-05:00,0,1.5263157894736843,-190,Bodog Sportsbook,HOU,HOU,SAC,1
2014-11-26 20:08:46-05:00,0,2.8,180,Pinnacle,SAC,HOU,SAC,1
2014-11-26 20:08:46-05:00,0,1.4975124378109452,-201,Pinnacle,HOU,HOU,SAC,1
2014-11-26 19:57:23-05:00,0,2.65,165,Intertops,SAC,HOU,SAC,1
2014-11-26 19:57:23-05:00,0,1.5263157894736843,-190,Intertops,HOU,HOU,SAC,1
2014-11-26 18:36:54-05:00,0,2.5,150,Sports Interaction,SAC,HOU,SAC,1
2014-11-26 18:36:54-05:00,0,1.5555555555555556,-180,Sports Interaction,HOU,HOU,SAC,1
2014-11-26 17:49:46-05:00,0,1.0833333333333333,-1200,5Dimes,SAS,SAS,IND,1
2014-11-26 17:49:46-05:00,0,11.0,1000,5Dimes,IND,SAS,IND,1
2014-11-26 14:40:21-05:00,0,1.0714285714285714,-1400,Bet365,SAS,SAS,IND,1
2014-11-26 14:40:21-05:00,0,9.5,850,Bet365,IND,SAS,IND,1
2014-11-26 18:48:14-05:00,0,1.08,-1250,Pinnacle,SAS,SAS,IND,1
2014-11-26 18:48:14-05:00,0,10.15,915,Pinnacle,IND,SAS,IND,1
2014-11-26 14:20:12-05:00,0,1.0625,-1600,Intertops,SAS,SAS,IND,1
2014-11-26 14:20:12-05:00,0,9.0,800,Intertops,IND,SAS,IND,1
2014-11-26 13:36:53-05:00,0,1.0666666666666667,-1500,Sports Interaction,SAS,SAS,IND,1
2014-11-26 13:36:53-05:00,0,10.0,900,Sports Interaction,IND,SAS,IND,1
2014-11-26 14:01:55-05:00,0,3.9,290,5Dimes,DEN,PHO,DEN,1
2014-11-26 14:01:55-05:00,0,1.3125,-320,5Dimes,PHO,PHO,DEN,1
2014-11-26 20:22:59-05:00,0,3.7,270,Bet365,DEN,PHO,DEN,1
2014-11-26 20:22:59-05:00,0,1.2941176470588236,-340,Bet365,PHO,PHO,DEN,1
2014-11-26 20:11:40-05:00,0,3.65,265,Bodog Sportsbook,DEN,PHO,DEN,1
2014-11-26 20:11:40-05:00,0,1.303030303030303,-330,Bodog Sportsbook,PHO,PHO,DEN,1
2014-11-26 20:09:26-05:00,0,3.71,271,Pinnacle,DEN,PHO,DEN,1
2014-11-26 20:09:26-05:00,0,1.3246753246753247,-308,Pinnacle,PHO,PHO,DEN,1
2014-11-26 12:40:43-05:00,0,1.0769230769230769,-1300,Pinnacle,SAS,PHO,DEN,1
2014-11-26 12:40:43-05:00,0,10.25,925,Pinnacle,IND,PHO,DEN,1
2014-11-26 20:09:19-05:00,0,3.6,260,Intertops,DEN,PHO,DEN,1
2014-11-26 20:09:19-05:00,0,1.3125,-320,Intertops,PHO,PHO,DEN,1
2014-11-26 19:26:42-05:00,0,3.6,260,Sports Interaction,DEN,PHO,DEN,1
2014-11-26 19:26:42-05:00,0,1.3125,-320,Sports Interaction,PHO,PHO,DEN,1
2014-11-26 22:41:07-05:00,0,3.55,255,5Dimes,LAL,LAL,MEM,1
2014-11-26 22:41:07-05:00,0,1.3225806451612903,-310,5Dimes,MEM,LAL,MEM,1
2014-11-26 21:53:03-05:00,0,3.6,260,Bet365,LAL,LAL,MEM,1
2014-11-26 21:53:03-05:00,0,1.3125,-320,Bet365,MEM,LAL,MEM,1
2014-11-26 21:56:30-05:00,0,3.65,265,Bodog Sportsbook,LAL,LAL,MEM,1
2014-11-26 21:56:30-05:00,0,1.303030303030303,-330,Bodog Sportsbook,MEM,LAL,MEM,1
2014-11-26 22:26:22-05:00,0,3.69,269,Pinnacle,LAL,LAL,MEM,1
2014-11-26 22:26:22-05:00,0,1.3278688524590163,-305,Pinnacle,MEM,LAL,MEM,1
2014-11-26 22:15:19-05:00,0,3.6,260,Intertops,LAL,LAL,MEM,1
2014-11-26 22:15:19-05:00,0,1.3125,-320,Intertops,MEM,LAL,MEM,1
2014-11-26 21:46:49-05:00,0,3.65,265,Sports Interaction,LAL,LAL,MEM,1
2014-11-26 21:46:49-05:00,0,1.2985074626865671,-335,Sports Interaction,MEM,LAL,MEM,1
2014-11-28 12:35:44-05:00,0,1.6451612903225807,-155,5Dimes,CHI,BOS,CHI,1
2014-11-28 12:35:44-05:00,0,2.45,145,5Dimes,BOS,BOS,CHI,1
2014-11-28 12:38:41-05:00,0,1.606060606060606,-165,Bet365,CHI,BOS,CHI,1
2014-11-28 12:38:41-05:00,0,2.45,145,Bet365,BOS,BOS,CHI,1
2014-11-28 12:55:38-05:00,0,1.588235294117647,-170,Bodog Sportsbook,CHI,BOS,CHI,1
