season,age,team_abbr,lg,pos,g,gs,mp,fg,fga,fg_pct,threep,threepa,threep_pct,twop,twopa,twop_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,bbref_endpoint,player_name
2005,25.0,SEA,NBA,SF,29,7,17.9,2.5,5.8,.435,0.6,2.0,.271,2.0,3.8,.523,.482,0.7,1.2,.618,1.0,1.3,2.3,0.9,0.8,0.3,0.6,1.9,6.3,/players/w/wilkida02.html,Damien Wilkins
2006,26.0,SEA,NBA,SF,82,12,18.6,2.4,5.3,.444,0.2,0.7,.250,2.2,4.6,.472,.460,1.7,2.0,.840,1.0,1.4,2.3,1.3,0.9,0.1,1.0,1.8,6.5,/players/w/wilkida02.html,Damien Wilkins
2007,27.0,SEA,NBA,SF,82,31,24.8,3.2,7.3,.435,0.6,1.5,.410,2.6,5.9,.442,.477,1.8,2.1,.882,1.1,1.7,2.8,1.9,1.1,0.2,1.4,1.9,8.8,/players/w/wilkida02.html,Damien Wilkins
2008,28.0,SEA,NBA,SF,76,31,24.3,3.6,8.9,.403,0.7,2.0,.323,2.9,6.8,.427,.440,1.4,1.9,.736,0.9,2.3,3.2,2.0,0.8,0.3,1.2,1.7,9.2,/players/w/wilkida02.html,Damien Wilkins
2009,29.0,OKC,NBA,SG,41,14,15.5,1.9,5.2,.362,0.7,1.8,.375,1.2,3.4,.355,.425,0.9,1.1,.804,0.5,1.2,1.7,0.9,0.5,0.2,0.9,1.3,5.3,/players/w/wilkida02.html,Damien Wilkins
2010,30.0,MIN,NBA,SF,80,31,19.8,2.1,4.8,.433,0.2,0.8,.295,1.8,4.0,.459,.457,1.3,1.6,.798,0.9,2.2,3.1,1.7,0.8,0.3,1.0,1.8,5.6,/players/w/wilkida02.html,Damien Wilkins
2011,31.0,ATL,NBA,SF,52,0,13.0,1.3,2.6,.504,0.0,0.2,.200,1.3,2.4,.528,.511,0.8,1.1,.714,0.4,1.3,1.7,0.8,0.5,0.2,0.4,1.4,3.5,/players/w/wilkida02.html,Damien Wilkins
2012,32.0,DET,NBA,SF,60,2,15.4,1.3,3.2,.394,0.1,0.4,.304,1.2,2.8,.406,.412,0.6,0.9,.630,0.4,1.3,1.7,0.7,0.5,0.2,0.5,1.4,3.2,/players/w/wilkida02.html,Damien Wilkins
2013,33.0,PHI,NBA,SG,61,21,18.0,2.4,5.2,.459,0.3,0.8,.333,2.1,4.3,.483,.486,1.3,1.8,.743,0.5,1.2,1.7,1.5,0.6,0.3,0.8,1.6,6.4,/players/w/wilkida02.html,Damien Wilkins
2018,38.0,IND,NBA,SF,19,1,8.0,0.7,2.1,.333,0.2,0.9,.222,0.5,1.1,.429,.385,0.2,0.2,.750,0.3,0.6,0.8,0.5,0.1,0.1,0.3,0.4,1.7,/players/w/wilkida02.html,Damien Wilkins
