datetime,team_abbr,vegas_odds,sportsbook,bet_type_id,decimal_odds
2010-10-26,MIA,-125,sbro,1,1.8
2010-10-26,BOS,105,sbro,1,2.05
2010-10-26,PHO,255,sbro,1,3.55
2010-10-26,POR,-310,sbro,1,1.3225806451612903
2010-10-26,HOU,255,sbro,1,3.55
2010-10-26,LAL,-310,sbro,1,1.3225806451612903
2010-10-27,DET,145,sbro,1,2.45
2010-10-27,BRK,-165,sbro,1,1.606060606060606
2010-10-27,BOS,-200,sbro,1,1.5
2010-10-27,CLE,170,sbro,1,2.7
2010-10-27,NYK,103,sbro,1,2.03
2010-10-27,TOR,-114,sbro,1,1.8771929824561404
2010-10-27,MIA,-380,sbro,1,1.263157894736842
2010-10-27,PHI,310,sbro,1,4.1
2010-10-27,ATL,110,sbro,1,2.1
2010-10-27,MEM,-130,sbro,1,1.7692307692307692
2010-10-27,SAC,135,sbro,1,2.35
2010-10-27,MIN,-155,sbro,1,1.6451612903225807
2010-10-27,MIL,130,sbro,1,2.3
2010-10-27,NOP,-150,sbro,1,1.6666666666666667
2010-10-27,CHI,230,sbro,1,3.3
2010-10-27,OKC,-270,sbro,1,1.3703703703703705
2010-10-27,CHO,250,sbro,1,3.5
2010-10-27,DAL,-300,sbro,1,1.3333333333333333
2010-10-27,IND,335,sbro,1,4.35
2010-10-27,SAS,-430,sbro,1,1.2325581395348837
2010-10-27,UTA,135,sbro,1,2.35
2010-10-27,DEN,-155,sbro,1,1.6451612903225807
2010-10-27,HOU,135,sbro,1,2.35
2010-10-27,GSW,-155,sbro,1,1.6451612903225807
2010-10-27,POR,-140,sbro,1,1.7142857142857142
2010-10-27,LAC,120,sbro,1,2.2
2010-10-28,WAS,1025,sbro,1,11.25
2010-10-28,ORL,-1450,sbro,1,1.0689655172413792
2010-10-28,PHO,260,sbro,1,3.6
2010-10-28,UTA,-320,sbro,1,1.3125
2010-10-29,IND,170,sbro,1,2.7
2010-10-29,CHO,-200,sbro,1,1.5
2010-10-29,SAC,115,sbro,1,2.15
2010-10-29,BRK,-135,sbro,1,1.7407407407407407
2010-10-29,ATL,-165,sbro,1,1.606060606060606
2010-10-29,PHI,145,sbro,1,2.45
2010-10-29,CLE,150,sbro,1,2.5
2010-10-29,TOR,-170,sbro,1,1.588235294117647
2010-10-29,NYK,400,sbro,1,5.0
2010-10-29,BOS,-500,sbro,1,1.2
2010-10-29,OKC,-260,sbro,1,1.3846153846153846
2010-10-29,DET,220,sbro,1,3.2
2010-10-29,ORL,140,sbro,1,2.4
2010-10-29,MIA,-160,sbro,1,1.625
2010-10-29,MIL,-190,sbro,1,1.5263157894736843
