datetime,team_abbr,vegas_odds,sportsbook,bet_type_id,decimal_odds
2008-10-28,CLE,220,sbro,1,3.2
2008-10-28,BOS,-260,sbro,1,1.3846153846153846
2008-10-28,MIL,230,sbro,1,3.3
2008-10-28,CHI,-270,sbro,1,1.3703703703703705
2008-10-28,POR,305,sbro,1,4.05
2008-10-28,LAL,-370,sbro,1,1.2702702702702702
2008-10-29,TOR,175,sbro,1,2.75
2008-10-29,PHI,-210,sbro,1,1.4761904761904763
2008-10-29,ATL,310,sbro,1,4.1
2008-10-29,ORL,-370,sbro,1,1.2702702702702702
2008-10-29,BRK,200,sbro,1,3.0
2008-10-29,WAS,-240,sbro,1,1.4166666666666667
2008-10-29,MIA,110,sbro,1,2.1
2008-10-29,NYK,-130,sbro,1,1.7692307692307692
2008-10-29,IND,500,sbro,1,6.0
2008-10-29,DET,-700,sbro,1,1.1428571428571428
2008-10-29,MIL,170,sbro,1,2.7
2008-10-29,OKC,-190,sbro,1,1.5263157894736843
2008-10-29,SAC,210,sbro,1,3.1
2008-10-29,MIN,-250,sbro,1,1.4
2008-10-29,PHO,-115,sbro,1,1.8695652173913044
2008-10-29,SAS,-105,sbro,1,1.9523809523809523
2008-10-29,MEM,650,sbro,1,7.5
2008-10-29,HOU,-1000,sbro,1,1.1
2008-10-29,DEN,300,sbro,1,4.0
2008-10-29,UTA,-360,sbro,1,1.2777777777777777
2008-10-29,NOP,-300,sbro,1,1.3333333333333333
2008-10-29,GSW,250,sbro,1,3.5
2008-10-29,LAL,-600,sbro,1,1.1666666666666667
2008-10-29,LAC,400,sbro,1,5.0
2008-10-30,CHO,350,sbro,1,4.5
2008-10-30,CLE,-500,sbro,1,1.2
2008-10-30,HOU,145,sbro,1,2.45
2008-10-30,DAL,-165,sbro,1,1.606060606060606
2008-10-30,NOP,135,sbro,1,2.35
2008-10-30,PHO,-155,sbro,1,1.6451612903225807
2008-10-31,GSW,240,sbro,1,3.4
2008-10-31,TOR,-280,sbro,1,1.3571428571428572
2008-10-31,NYK,300,sbro,1,4.0
2008-10-31,PHI,-360,sbro,1,1.2777777777777777
2008-10-31,SAC,240,sbro,1,3.4
2008-10-31,MIA,-280,sbro,1,1.3571428571428572
2008-10-31,ORL,-320,sbro,1,1.3125
2008-10-31,MEM,260,sbro,1,3.6
2008-10-31,CHI,450,sbro,1,5.5
2008-10-31,BOS,-600,sbro,1,1.1666666666666667
2008-10-31,DEN,-120,sbro,1,1.8333333333333333
2008-10-31,LAC,100,sbro,1,2.0
2008-10-31,SAS,-130,sbro,1,1.7692307692307692
2008-10-31,POR,110,sbro,1,2.1
2008-11-01,PHI,120,sbro,1,2.2
2008-11-01,ATL,-140,sbro,1,1.7142857142857142
2008-11-01,MIA,120,sbro,1,2.2
2008-11-01,CHO,-140,sbro,1,1.7142857142857142
2008-11-01,BOS,-260,sbro,1,1.3846153846153846
