datetime,team_abbr,vegas_odds,sportsbook,bet_type_id,decimal_odds
2014-10-28,DAL,140,sbro,1,2.4
2014-10-28,SAS,-165,sbro,1,1.606060606060606
2014-10-28,ORL,380,sbro,1,4.8
2014-10-28,NOP,-475,sbro,1,1.2105263157894737
2014-10-28,HOU,-300,sbro,1,1.3333333333333333
2014-10-28,LAL,250,sbro,1,3.5
2014-10-29,MIL,315,sbro,1,4.15
2014-10-29,CHO,-390,sbro,1,1.2564102564102564
2014-10-29,PHI,290,sbro,1,3.9
2014-10-29,IND,-350,sbro,1,1.2857142857142858
2014-10-29,BRK,-105,sbro,1,1.9523809523809523
2014-10-29,BOS,-115,sbro,1,1.8695652173913044
2014-10-29,ATL,161,sbro,1,2.61
2014-10-29,TOR,-190,sbro,1,1.5263157894736843
2014-10-29,WAS,180,sbro,1,2.8
2014-10-29,MIA,-210,sbro,1,1.4761904761904763
2014-10-29,CHI,-195,sbro,1,1.5128205128205128
2014-10-29,NYK,166,sbro,1,2.66
2014-10-29,MIN,290,sbro,1,3.9
2014-10-29,MEM,-350,sbro,1,1.2857142857142858
2014-10-29,DET,225,sbro,1,3.25
2014-10-29,DEN,-270,sbro,1,1.3703703703703705
2014-10-29,HOU,-160,sbro,1,1.625
2014-10-29,UTA,135,sbro,1,2.35
2014-10-29,LAL,750,sbro,1,8.5
2014-10-29,PHO,-1100,sbro,1,1.0909090909090908
2014-10-29,GSW,-195,sbro,1,1.5128205128205128
2014-10-29,SAC,166,sbro,1,2.66
2014-10-29,OKC,380,sbro,1,4.8
2014-10-29,POR,-475,sbro,1,1.2105263157894737
2014-10-30,WAS,-190,sbro,1,1.5263157894736843
2014-10-30,ORL,161,sbro,1,2.61
2014-10-30,NYK,825,sbro,1,9.25
2014-10-30,CLE,-1325,sbro,1,1.0754716981132075
2014-10-30,DET,195,sbro,1,2.95
2014-10-30,MIN,-230,sbro,1,1.434782608695652
2014-10-30,UTA,500,sbro,1,6.0
2014-10-30,DAL,-650,sbro,1,1.1538461538461537
2014-10-30,OKC,800,sbro,1,9.0
2014-10-30,LAC,-1200,sbro,1,1.0833333333333333
2014-10-31,MEM,-270,sbro,1,1.3703703703703705
2014-10-31,IND,225,sbro,1,3.25
2014-10-31,CLE,155,sbro,1,2.55
2014-10-31,CHI,-180,sbro,1,1.5555555555555556
2014-10-31,PHI,340,sbro,1,4.4
2014-10-31,MIL,-420,sbro,1,1.2380952380952381
2014-10-31,POR,-190,sbro,1,1.5263157894736843
2014-10-31,SAC,161,sbro,1,2.61
2014-10-31,SAS,-115,sbro,1,1.8695652173913044
2014-10-31,PHO,-105,sbro,1,1.9523809523809523
2014-10-31,LAC,-900,sbro,1,1.1111111111111112
2014-10-31,LAL,600,sbro,1,7.0
2014-11-01,MEM,135,sbro,1,2.35
2014-11-01,CHO,-160,sbro,1,1.625
2014-11-01,DAL,-105,sbro,1,1.9523809523809523
2014-11-01,NOP,-115,sbro,1,1.8695652173913044
2014-11-01,TOR,-235,sbro,1,1.425531914893617
2014-11-01,ORL,195,sbro,1,2.95
2014-11-01,MIA,-450,sbro,1,1.2222222222222223
2014-11-01,PHI,355,sbro,1,4.55
2014-11-01,MIL,355,sbro,1,4.55
2014-11-01,WAS,-450,sbro,1,1.2222222222222223
2014-11-01,BRK,130,sbro,1,2.3
2014-11-01,DET,-150,sbro,1,1.6666666666666667
2014-11-01,IND,500,sbro,1,6.0
2014-11-01,ATL,-650,sbro,1,1.1538461538461537
2014-11-01,CHI,-130,sbro,1,1.7692307692307692
2014-11-01,MIN,110,sbro,1,2.1
2014-11-01,BOS,290,sbro,1,3.9
2014-11-01,HOU,-350,sbro,1,1.2857142857142858
